slug,name,logoPath,description,website,docs,x,github,discord,telegram,linkedin,supportEmail,starred,tag
alchemy-pay,Alchemy Pay,alchemy-pay.png,"Fiat-to-crypto payment gateway connecting traditional fiat currencies with digital assets for businesses, developers, and users globally.","https://alchemypay.org/",,,,,,,,FALSE,
algorand,Algorand,algorand.png,"Layer-1 blockchain using Pure Proof-of-Stake consensus, providing 10,000 TPS with instant finality and no rollbacks, with developer tools supporting Python and TypeScript via AlgoKit, targeting DeFi, tokenization, payments, and supply chain applications.","https://algorand.co/","https://dev.algorand.co/",,,,,,,FALSE,
allbridge-core,Allbridge Core,allbridge-core.png,"Cross-chain bridge protocol enabling wrapped asset transfers between multiple blockchains with multi-signature security","https://allbridge.io/","https://docs-core.allbridge.io/",Allbridge_io,allbridge-io,,,,,FALSE,
alldomains,AllDomains,alldomains.png,"Web3 domain name platform for registering, creating, and trading customizable top-level domain identities on Solana and other SVM-compatible chains","https://alldomains.id/","https://docs.alldomains.id/protocol",,,,,,,FALSE,
allo,Allo,allo.png,"Algorand blockchain explorer displaying blocks, transactions, assets, and network metrics, with quick-access links to developer resources and the official Algorand developer portal","https://allo.info/",,,,,,,,FALSE,
allthatnode,AllThatNode,allthatnode.png,"Multi-chain blockchain data-as-a-service by DSRV, providing node APIs and RPC endpoints across 30+ networks with archive data access and an analytics dashboard.","https://www.allthatnode.com","https://docs.allthatnode.com/docs/welcome-to-all-that-node",,,,,,,FALSE,
alphawallet,Alphawallet,alphawallet.png,"Mobile wallet application providing direct access to decentralized applications and token management across multiple blockchains","https://alphawallet.com/","https://docs.alphawallet.com/",,,,,,,FALSE,
altitude,Altitude,altitude.png,"Composable cross-chain asset bridge built on LayerZero, offering secured guaranteed finality, zero impermanent loss via single-sided liquidity pools, and a fixed 0.05% bridging fee.","https://www.altitudedefi.com/","https://altitude-1.gitbook.io/altitude/",,,,,,,FALSE,
ambire,Ambire,ambire.png,"Self-custody browser extension wallet for all EVM networks, featuring account abstraction (sponsored transactions, no approval popups), open-source, audited, and privacy-respecting.","https://www.ambire.com/","https://help.ambire.com/en/",ambire,AmbireTech,,,,,FALSE,
ankr,Ankr,ankr.png,"Web3 infrastructure provider offering RPC API endpoints, blockchain scaling solutions (rollups/sidechains), and staking services across 70+ networks","https://www.ankr.com/","https://www.ankr.com/docs/",ankr,Ankr-network,,,,,FALSE,
anyalt,AnyAlt,anyalt.png,"SDK and pre-built widget enabling developers to integrate cross-chain token swaps and last-mile transaction execution into Web3 applications, with customizable UI and multi-chain support.","https://www.anyalt.finance/","https://docs.anyalt.finance/sdk/overview",,,,,,,FALSE,
apeworx,ApeWorx,apeworx.png,"Software company providing developer tools for smart contract engineers and data scientists, including the Ape Framework (Python-based EVM development environment), Silverback (automation), and ApePay (subscription payments).","https://www.apeworx.io/","https://docs.apeworx.io/",ApeFramework,ApeWorX/evm-trace,,,,,FALSE,
api3,API3,api3.png,"Decentralized oracle protocol providing tamper-proof data feeds with oracle extractable value (OEV) rewards for application developers","https://api3.org/","https://docs.api3.org/",api3dao,api3dao,,,,,FALSE,
apillon,Apillon,apillon.png,"Web3 development platform providing NFT storage, authentication, and blockchain infrastructure tools","https://apillon.io/",,,,,,,,FALSE,
aptos,Aptos,aptos.png,"Layer-1 blockchain built by the Aptos Foundation using the Move programming language, designed for sub-second finality and high throughput, with a full developer toolchain including TypeScript, Python, Go, and Rust SDKs, a CLI, and an indexer.","https://aptos.dev/","https://aptos.dev/build/indexer",AptosLabs,aptos-labs,,,,,FALSE,
arbiscan,Arbiscan,arbiscan.png,"Block explorer and analytics platform for Arbitrum One by Etherscan, tracking transactions, addresses, tokens, and smart contracts on the Arbitrum network.","https://arbiscan.io/","https://docs.arbiscan.io/",,,,,,,FALSE,
arbitrum,Arbitrum,arbitrum.png,"Ethereum Layer 2 scaling solution using Optimistic Rollups to enable fast, low-cost smart contract execution and transaction settlement","https://arbitrum.io/","https://docs.arbitrum.io/",arbitrum,OffchainLabs,,,,,FALSE,
arbitrum-python-sdk,Arbitrum Python SDK,arbitrum-python-sdk.png,Python library providing essential helper functionality and direct access to smart contract interfaces for client-side interactions with Arbitrum networks.,"https://github.com/justmert/arbitrum-python-sdk","https://arbitrum-python-sdk.readthedocs.io/",,justmert/arbitrum-python-sdk,,,,,FALSE,
arianee,Arianee,arianee.png,"Open-source blockchain protocol for creating and managing tokenized Digital Product Passports (DPPs) as NFTs, enabling product authenticity, lifecycle tracking, and brand-customer engagement.","https://www.arianee.org","https://docs.arianee.org/",ArianeeProject,Arianee,,,,,FALSE,
arkham,Arkham,arkham.png,"On-chain intelligence platform combining blockchain wallet analytics and address labeling with an integrated crypto trading exchange, used by institutions for real-time market analysis","https://arkm.com/","https://codex.arkm.com/",,,,,,,FALSE,
artemis,Artemis,artemis.png,"Financial data platform standardizing fundamental metrics for blockchain protocols and digital assets, offering a terminal, Google Sheets integration, and Snowflake data shares for institutional investors","https://www.artemisanalytics.com/","https://docs.artemis.xyz/",,,,,,,FALSE,
arweave,Arweave,arweave.png,"A permanent and decentralized storage network that preserves data long-term through an incentivized peer-to-peer ledger system, similar to Bitcoin but for immutable data","https://arweave.org/","https://docs.arweave.org/developers",arweaveeco,ArweaveTeam,,,,,FALSE,
ascoin,AScoin,ascoin.png,"Mobile wallet and payment platform supporting Bitcoin, Ethereum, and ERC-20 tokens","https://www.ascoin.pro/",,,,,,,,FALSE,
assemblyscript,AssemblyScript,assemblyscript.png,"TypeScript-like language that compiles to WebAssembly, offering low-level control over generated code, familiar TypeScript syntax, and npm-based integration without heavy toolchain setup.","https://www.assemblyscript.org/",,AssemblyScript,AssemblyScript,,,,,FALSE,
astar,Astar,astar.png,"Polkadot parachain with multi-VM support (EVM and WASM), Ink! and Rust smart contracts, dApp staking, and Superchain integration with Soneium for cross-layer Web3 application development.","https://astar.network/","https://docs.astar.network/",AstarNetwork,AstarNetwork,,,,,FALSE,
asterizm,Asterizm,asterizm.png,"Omnichain interoperability infrastructure for cross-chain asset transfers, DeFi bridges, NFT bridges, and RWA issuance, designed for enterprises and DeFi protocols.","https://asterizm.io/","https://docs.asterizm.io/",Asterizm_layer,Asterizm-Protocol,,,,,FALSE,
atomic,Atomic,atomic.png,"Non-custodial multi-asset crypto wallet supporting 1000+ coins and tokens, with built-in swap, buy, staking, and NFT management, trusted by 15 million users worldwide.","https://atomicwallet.io",,atomicwallet,Atomicwallet,,,,,FALSE,
automata,Automata,automata.png,"Hardware trust infrastructure providing on-demand TEE attestation using Intel SGX/TDX and AMD SEV-SNP, securing rollups, private AI workloads, and DeFi protocols via verifiable off-chain computation.","https://www.ata.network/","https://docs.ata.network/",AutomataNetwork,automata-network,,,,,FALSE,
avalabs,Ava Labs,avalabs.png,"Company behind the Avalanche blockchain, maintaining AvalancheGo (the primary node client), developer SDKs, CLI tooling, and the Avalanche Builder Hub providing documentation, grants, and ecosystem resources.","https://www.avalabs.org/",,,,,,,,FALSE,
avalanche-builder-hub,Avalanche,avalanche-builder-hub.png,"Official developer hub by Ava Labs providing documentation, developer tools, grant opportunities, and ecosystem resources for building on Avalanche.","https://build.avax.network/","https://build.avax.network/docs",,,,,,,FALSE,
avascan,Avascan,avascan.png,"Avalanche network explorer and API service for browsing blockchains, transactions, validators, delegators, assets, and smart contracts across the Avalanche ecosystem","https://avascan.info/","https://docs.avascan.info/",AvascanExplorer,avascan,,,,,FALSE,
axelar,Axelar,axelar.png,"Cross-chain interoperability network enabling tokenization, trading, and DeFi yield across 15+ blockchains, secured by 75+ validators with zero exploits.","https://www.axelar.network/","https://docs.axelar.dev/",axelarnetwork,axelarnetwork,,,,,FALSE,
aztec,Aztec,aztec.png,"Privacy-first zk-rollup Layer 2 on Ethereum providing programmable privacy via zero-knowledge proofs, client-side proving in a Private Execution Environment (PXE), configurable public and private state, and the Noir domain-specific language for ZK smart contracts.","https://aztec.network/","https://docs.aztec.network/",aztecnetwork,AztecProtocol,,,,,FALSE,
backpack,Backpack,backpack.png,"All-in-one crypto exchange and self-custody wallet offering spot and futures trading, lending, and portfolio management in a single application.","https://backpack.app/","https://docs.backpack.app/",Backpack,coral-xyz,,,,,FALSE,
bakkenbaeck-bastion-digital,"Bakkenbaeck, Bastion Digital",bakkenbaeck-bastion-digital.png,"Developer studio behind Tonscan, an open-source blockchain explorer for The Open Network (TON) displaying transactions, addresses, and network statistics.","https://tonscan.org/",,,,,,,,FALSE,
band-protocol,Band Protocol,band-protocol.png,"Decentralized oracle and data layer for AI and Web3, providing real-time financial data feeds, verifiable random functions (VRF), and AI knowledge enrichment across 40+ chains.","https://www.bandprotocol.com/","https://docs.bandchain.org/",bandprotocol,bandprotocol,,,,,FALSE,
banxa,Banxa,banxa.png,"Fiat-to-crypto payment infrastructure offering on-ramp and off-ramp services via hosted checkout or REST API, with KYC/AML compliance and order management support.","https://banxa.com/","https://docs.banxa.com/docs/overview",,,,,,,FALSE,
base,Base,base.png,"Ethereum Layer 2 blockchain incubated by Coinbase, built on the OP Stack to provide low-cost, developer-friendly infrastructure for onchain applications.","https://www.base.org/","https://docs.base.org/",base,base,,,,,FALSE,
beaconcha-in,Beaconcha.in,beaconcha-in.png,"Open-source Ethereum consensus-layer explorer tracking validators, epochs, slots, and staking performance, with integrated execution-layer data and a mobile app for validator monitoring.","https://beaconcha.in/","https://docs.beaconcha.in/",,,,,,,FALSE,
beans-app,Beans App,beans-app.png,"DeFi savings platform that connects users with stablecoin borrowers, allowing deposits in USDC and EURC to earn yield from decentralized lending markets.","https://www.beansapp.com/",,,,,,,,FALSE,
berachain,Berachain,berachain.png,Layer 1 blockchain powered by Proof-of-Liquidity consensus providing EVM-compatible infrastructure for Web3 developers and users,"https://berachain.com/","https://docs.berachain.com/",berachain,berachain,berachain,berachain,,,FALSE,
beryx,Beryx,beryx.png,"Filecoin blockchain explorer and public API by Zondax that indexes historical and real-time network data, supporting FVM contract interaction, address conversion, contract verification, and a Calibration testnet faucet.","https://beryx.io/",,,,,,,,FALSE,
biconomy,Biconomy,biconomy.png,"Full-stack Web3 infrastructure provider offering ERC-7579 smart accounts (Nexus), gasless transactions, cross-chain orchestration via a Modular Execution Environment, and composable batching to simplify multi-chain application development.","https://www.biconomy.io/","https://docs.biconomy.io/overview/introduction",biconomy,bcnmy,,,,,FALSE,
bifrost,Bifrost,bifrost.png,"Self-custody multi-chain crypto wallet supporting DeFi, NFT management, and Web3 interactions, designed for accessibility across multiple blockchain networks.","https://bifrostwallet.com/",,,,,,,,FALSE,
binance,Binance,binance.png,"Global cryptocurrency exchange and ecosystem offering spot and futures trading, and the Binance Web3 Wallet for self-custody multi-chain DeFi access supporting ERC-20, BEP-20, BRC-20, and other token standards.","https://www.binance.com/",,binance,binance,,,,,FALSE,
bitbond-token-tool,Bitbond Token Tool,bitbond-token-tool.png,Asset tokenization platform providing tools and infrastructure for creating and managing tokenized digital assets on blockchain networks,"https://tokentool.bitbond.com/","https://docs.bitbond.com/asset-tokenization-suite",,,,,,,FALSE,
bitcoin-com,Bitcoin.com,bitcoin-com.png,"Platform offering a self-custody crypto wallet, exchange, news, educational resources, and games centered around Bitcoin and cryptocurrency.","https://bitcoin.com/",,,,,,,,FALSE,
bitget,Bitget,bitget.png,"Self-custody Web3 crypto wallet supporting tokens across 130+ blockchains, featuring one-click swaps at low fees, automated earnings, MPC and smart wallet security, and instant global transfers.","https://web3.bitget.com/",,BitgetWallet,bitgetwallet,,,,,FALSE,
bitgo,BitGo,bitgo.png,"Digital asset infrastructure company providing institutional custody, prime trading and financing, wallet APIs, staking, and stablecoin issuance services, with over $104B in assets on platform since 2013.","https://www.bitgo.com/","https://developers.bitgo.com/",BitGo,BitGo,,,,,FALSE,
bitpie,BitPie,bitpie.png,"Multi-currency crypto wallet supporting Bitcoin, Ethereum, and EVM-compatible blockchains","https://bitpie.com/",,,,,,,,FALSE,
bitquery,Bitquery,bitquery.png,"Blockchain data API platform providing historical and real-time indexed data for 40+ blockchains through GraphQL, WebSocket, SQL, and cloud provider integrations.","https://bitquery.io/","https://docs.bitquery.io/",Bitquery_io,bitquery,,,,,FALSE,
blaze,Blaze,blaze.png,Provides wallet solutions for Web3 developers and users.,"https://blaze.money/","https://docs.blaze.money/",,,,,,,FALSE,
blockbolt,Blockbolt,blockbolt.png,"Decentralized multichain crypto payment protocol enabling merchants to accept cryptocurrency payments via POS terminals, SDKs, APIs, and a commerce platform with low transaction fees.","https://blockbolt.io/","https://docs.blockbolt.io/",,,,,,,FALSE,
blockbucket,BlockBucket,blockbucket.png,Multi-sender tool and dApp that enables batch transfers and airdrops of ERC-20 tokens in a single transaction.,"https://blockbucket.io/",,,,,,,,FALSE,
blockchain-com,Blockchain.com,blockchain-com.png,"Crypto finance company operating since 2011 offering a self-custody wallet, exchange, block explorer, and APIs for retail and institutional users.","https://www.blockchain.com/",,,,,,,,FALSE,
blockchair,Blockchair,blockchair.png,"Multi-chain blockchain search engine and explorer supporting 40+ networks, with a developer API, address clustering, and privacy-focused transaction analytics.","https://blockchair.com/","https://blockchair.com/api/docs",,,,,,,FALSE,
blockcypher,BlockCypher,blockcypher.png,"Cloud-optimized block explorer and blockchain web services provider offering robust APIs for Bitcoin, Ethereum, and other major networks.","https://www.blockcypher.com/","https://www.blockcypher.com/dev/",blockcypher,blockcypher,,,,,FALSE,
blockdaemon,Blockdaemon,blockdaemon.png,"Institutional blockchain infrastructure provider offering secure node management, validator staking, and RPC/REST APIs across 70+ proof-of-stake networks, with ISO 27001 certification, SOC 2 Type II compliance, and 100% slashing-risk coverage.","https://www.blockdaemon.com/","https://docs.blockdaemon.com/docs/homepage-guides",BlockdaemonHQ,Blockdaemon,,,,,FALSE,
blockexplorer-one,Blockexplorer.one,blockexplorer-one.png,"Multi-chain blockchain explorer operated by CryptoAPIs, enabling address and transaction lookup across multiple blockchain networks.","https://blockexplorer.one/",,,,,,,,FALSE,
blocknative,Blocknative,blocknative.png,"Gas prediction APIs, mempool data, and L2 decoding tools for Ethereum and L2 networks, providing accurate fee estimation, transaction monitoring, and wallet onboarding infrastructure for builders and chain operators.","https://www.blocknative.com/","https://docs.blocknative.com/ethernow/batch-decoder-api",blocknative,blocknative,,,,,FALSE,
blockpi,BlockPi,blockpi.png,"Globally distributed blockchain infrastructure provider offering high-performance RPC services, dedicated nodes, and account abstraction support across 70+ networks.","https://blockpi.io/","https://docs.blockpi.io/pricing/pricing-and-rate-limit",,,,,,,FALSE,
blockscout,Blockscout,blockscout.png,"Open-source multichain block explorer with smart contract verification, token tracking, and cross-chain address search, deployable as Explorer-as-a-Service for any EVM or non-EVM network.","https://www.blockscout.com/","https://docs.blockscout.com/",blockscoutcom,blockscout,,,,,FALSE,
blocksec-phalcon,Blocksec Phalcon,blocksec-phalcon.png,"Web3 security platform offering smart contract audits, real-time threat monitoring, and exploit prevention","https://blocksec.com/","https://docs.blocksec.com/",blocksecteam,blocksecteam,,,,,FALSE,
blockvision,BlockVision,blockvision.png,"Web3 data and node infrastructure providing high-availability RPC access with archive data, mempool monitoring, Flashbot bundle support, and DeFi portfolio indexing.","https://blockvision.org/","https://docs.blockvision.org/reference/welcome-to-blockvision",,,invite/J6Vm2W8JRj,,,,FALSE,
blockworks,Blockworks,blockworks.png,"Crypto information and analytics platform delivering research, market insights, and events for investors, operators, and institutions.","https://blockworks.com/",,,,,,,,FALSE,
blowfish,Blowfish,blowfish.png,Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,"https://blowfish.xyz/","https://docs.blowfish.xyz/",blowfishxyz,blowfishxyz,,,,,FALSE,
blueprint,Blueprint,blueprint.png,"Development environment for TON blockchain offering project creation, testing, and smart contract deployment","https://github.com/ton-org/blueprint",,,ton-org/blueprint,,,,,FALSE,
bnb-chain,BNB Chain,bnb-chain.png,"Multichain blockchain ecosystem comprising BNB Smart Chain (EVM-compatible L1), opBNB (L2 scaling solution), and BNB Greenfield (decentralized storage network), with developer tools, grant programs, and a broad DeFi and DApp ecosystem.","https://www.bnbchain.org/","https://docs.bnbchain.org/",BNBCHAIN,bnb-chain,,,,,FALSE,
bonadocs,Bonadocs,bonadocs.png,"It provides a suite of developer tools designed to simplify smart contract integration, documentation, and collaboration for Web3 engineering teams","https://bonadocs.com/","https://docs.bonadocs.com/",,,,,,,FALSE,
brand-extender,Brand Extender,brand-extender.png,"It enables the creation of fully on-chain derivative NFTs or sets of NFTs, leveraging existing NFT collections with open intellectual property (IP) rights","https://brandextender.io/",,,,,,,,FALSE,
brave,Brave,brave.png,"Built-in crypto wallet in the Brave browser for managing tokens and NFTs, connecting to DApps, and exploring Web3.","https://brave.com/",,brave,brave,,,,,FALSE,
bravepay,BravePay,bravepay.png,"Mobile crypto wallet app licensed by the Bank of Spain, enabling payments with digital assets at merchants, linking of debit and credit cards, and reward earning on purchases.","https://www.bravepay.net/",,,,,,,,FALSE,
bridgewallet,BridgeWallet,bridgewallet.png,"Self-custody mobile crypto wallet by Swiss fintech Mt Pelerin, offering a personal IBAN for direct bank transfers, fiat payment sending, and non-custodial asset management.","https://www.mtpelerin.com/","https://developers.mtpelerin.com/",,,,,,,FALSE,
brownie,Brownie,brownie.png,"Python-based development and testing framework for Ethereum smart contracts, supporting compilation, testing, debugging, and deployment of contracts targeting the EVM.",,,BrownieEth,eth-brownie/brownie,,,,,FALSE,
bscscan,BscScan,bscscan.png,"Block explorer and analytics platform for BNB Smart Chain by Etherscan, tracking transactions, tokens, NFTs, and smart contracts on BSC.","https://bscscan.com/","https://docs.etherscan.io/",,,,,,,FALSE,
bubblemaps,Bubblemaps,bubblemaps.png,"On-chain analytics tool that visually maps token distribution and wallet cluster connections across chains to reveal insider holdings, wallet relationships, and historical token flows","https://bubblemaps.io/","https://docs.bubblemaps.io/iframe/introduction",,,,,,,FALSE,
buildbear,BuildBear,buildbear.png,"Private, shareable EVM sandbox environments for testing and debugging smart contracts against forked mainnet state, with support for custom chain configurations and collaborative testing workflows.","https://www.buildbear.io/","https://www.buildbear.io/docs/docs",_BuildBear,BuildBearLabs,,,,,FALSE,
bybit,Bybit,bybit.png,"Global cryptocurrency exchange offering spot, derivatives, and copy trading, with an integrated Web3 wallet for accessing DeFi protocols, NFTs, and DApps across multiple networks.","https://www.bybit.com/",,,,,,,,FALSE,
cannon,Cannon,cannon.png,"DevOps tool for EVM chains providing a declarative Cannonfile format for testing, deploying, and publishing smart contracts and entire protocol configurations across multiple networks, inspired by Docker and Terraform.","https://usecannon.com/","https://usecannon.com/learn/guides/get-started/setup",usecannon,usecannon,,,,,FALSE,
capstone-disassembler,Capstone Disassembler,capstone-disassembler.png,"Python assembler and disassembler library for the Ethereum Virtual Machine (pyevmasm), providing a command-line utility and Python API for working with EVM bytecode.",,,,crytic/pyevmasm,,,,,FALSE,
celer,Celer,celer.png,Blockchain interoperability protocol enabling cross-chain dApps and token transfers with single-transaction UX,"https://celer.network/","https://cbridge-docs.celer.network/",CelerNetwork,celer-network,,,,,FALSE,
chain-love,Chain.Love,chain-love.png,"Open-source platform for discovering, comparing, and accessing Web3 services including RPCs, indexers, oracles, bridges, and developer tools across multiple blockchain networks, with automated load balancing and real-time performance monitoring.","https://www.chain.love/","https://chain-love.gitbook.io/chain-love-docs/blockchains",,,,,,,FALSE,
chain-platform,Chain Platform,chain-platform.png,"Multi-tool Web3 platform offering testnet faucets, a crypto price tracker, real-time gas fee monitor, EVM chain directory with RPC endpoints, NFT snapshot tools, and Discord bots.","https://chainplatform.co/",,,,,,,,FALSE,
chainbase,Chainbase,chainbase.png,"Blockchain data infrastructure platform providing RPC node access across multiple chains (EVM, Aptos, TON, Sui), indexed on-chain data APIs, and developer tools for building AI agents and Web3 applications.","https://chainbase.com/","https://docs.chainbase.com/platform/features/api/chain-rpc",chainbasehq,chainbase-labs,,,,,FALSE,
chainide,ChainIDE,chainide.png,"AI-powered cloud-based Web3 IDE for writing, testing, and deploying smart contracts across multiple blockchains, eliminating local toolchain setup requirements.","https://chainide.com/","https://docs.chainide.com/",,,,,,,FALSE,
chainlink,Chainlink,chainlink.png,"Industry-standard oracle platform connecting smart contracts to real-world data, price feeds, and APIs, powering the majority of DeFi with verifiable randomness, automation, and cross-chain interoperability via CCIP.","https://chain.link/","https://docs.chain.link/",chainlink,smartcontractkit,,,,,FALSE,
chainlist,Chainlist,chainlist.png,"Directory of EVM network configurations allowing users and developers to connect wallets and Web3 middleware to the correct Chain ID and Network ID, with support for adding custom RPCs and new chain listings.","https://chainlist.org/","https://sites.google.com/view/chainlistsafe/",,,,,,,FALSE,
chainnodes,Chainnodes,chainnodes.png,Web3 infrastructure providing globally distributed RPC nodes with low-latency blockchain connectivity,"https://www.chainnodes.org/","https://www.chainnodes.org/docs",chainnodes,chainnodesorg,,,,,FALSE,
chainport,ChainPort,chainport.png,"Token bridge supporting cross-chain asset transfers across 25+ blockchains including Ethereum, BNB Chain, Polygon, Avalanche, and Arbitrum.","https://www.chainport.io/","https://docs.chainport.io/",chain_port,chainport,,,,,FALSE,
chainsafe,ChainSafe,chainsafe.png,"Open-source blockchain R&D firm building protocol client implementations—Lodestar (Ethereum consensus), Forest (Filecoin in Rust), Gossamer (Polkadot in Go)—alongside infrastructure services, co-development consulting, and Web3 gaming tools.","https://chainsafe.io/",,ChainSafeth,ChainSafe,invite/xSAwrnCWcg,,company/chainsafe-systems,,FALSE,
chainspot,Chainspot,chainspot.png,"Cross-chain liquidity aggregator supporting swapping and bridging across 37+ EVM and non-EVM chains, combining bridges and DEX aggregators with a proprietary routing engine for optimal-rate cross-chain trades.","https://chainspot.io/","https://docs.chainspot.io/",,,,,,,FALSE,
chainstack,Chainstack,chainstack.png,"Blockchain node API provider for low-latency RPC access across 70+ chains, offering geo-balanced Global Node routing, dedicated nodes, and deep historical data lookups.","https://chainstack.com/","https://docs.chainstack.com/docs/platform-introduction",ChainstackHQ,chainstacklabs,,,,,FALSE,
chainup-cloud,Chainup Cloud,chainup-cloud.png,"Industrial-grade Web3 infrastructure provider offering public and white-label validator staking, blockchain APIs, liquidity staking, and dedicated nodes across major proof-of-stake networks.","https://cloud.chainup.com/","https://docs.chainupcloud.com/blockchain-api/filecoin/public-apis",,,,,,,FALSE,
chronicle-protocol,Chronicle Protocol,chronicle-protocol.png,"Decentralized oracle protocol originating from MakerDAO, providing cost-efficient verifiable on-chain price feeds secured by a distributed validator network across multiple chains.","https://chroniclelabs.org/","https://docs.chroniclelabs.org/",ChronicleLabs,chronicleprotocol,,,,,FALSE,
cid-checker,CID Checker,cid-checker.png,Filecoin CID Checker tool for verifying whether a specific content identifier (CID) is stored and retrievable on the Filecoin network.,"https://filecoin.tools/",,,,,,,,FALSE,
cinko,CiNKO,cinko.png,"Digital wallet app for borderless stablecoin payments (USDC and EURC) with zero FX conversion fees, a globally accepted Visa card, and KYC/AML-compliant account management.","https://cinko.io/",,,,,,,,FALSE,
circle,Circle,circle.png,"Financial technology company issuing USDC and operating the Circle Payments Network, providing programmable wallets, payment APIs, and compliance infrastructure for internet-native finance.","https://www.circle.com/","https://developers.circle.com/",,,,,,,FALSE,
claimcrypto,ClaimCrypto,claimcrypto.png,Crypto faucet platform distributing small amounts of ETH and LTC via FaucetPay with instant payouts and additional earning options through shortlinks and referrals.,"https://claimcrypto.in/",,,,,,,,FALSE,
clave,Clave,clave.png,"Self-custodial smart wallet app built on ZKsync Era, using account abstraction and biometric security for investing, earning yield, and spending crypto with a simplified user experience.","https://www.getclave.com/","https://docs.getclave.com/",,,,,,,FALSE,
