slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
allthatnode-polygon-pay-as-you-go-archive,!provider:allthatnode-pay-as-you-go-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,,mainnet,,,,,,,,,,,,,,,,
allthatnode-polygon-enterprise-archive,!provider:allthatnode-enterprise-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,,mainnet,,,,,,,,,,,,,,,,
ankr-polygon-free-archive,!provider:ankr-free-recent-state,"[""[Buy](https://www.ankr.com/web3-api)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#polygon)""]",,Full Archive,mainnet,,,,,,,,,,,,,,,,
ankr-polygon-pay-as-you-go-archive,!provider:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/web3-api)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#polygon)""]",,,mainnet,,,,,,,,,,,,,,,,
ankr-polygon-enterprise-archive,!provider:ankr-enterprise-recent-state,"[""[Buy](https://www.ankr.com/web3-api)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#polygon)""]",,Full Archive,mainnet,,,,,,,,,,,,,,,,
ankr-amoy-free-archive,!provider:ankr-free-recent-state,"[""[Buy](https://www.ankr.com/web3-api)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#polygon)""]",,Full Archive,amoy,,,,,,,,,,,,,,,,
ankr-amoy-pay-as-you-go-archive,!provider:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/web3-api)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#polygon)""]",,,amoy,,,,,,,,,,,,,,,,
ankr-amoy-enterprise-archive,!provider:ankr-enterprise-recent-state,"[""[Buy](https://www.ankr.com/web3-api)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#polygon)""]",,Full Archive,amoy,,,,,,,,,,,,,,,,
quicknode-polygon-pay-as-you-go-archive,!provider:quicknode-pay-as-you-go-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/polygon)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-polygon-enterprise-archive,!provider:quicknode-enterprise-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/polygon)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-amoy-pay-as-you-go-archive,!provider:quicknode-pay-as-you-go-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/polygon)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-enterprise-archive,!provider:quicknode-enterprise-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/polygon)""]",,,amoy,,,,,,,,,,,,,,,,
blockpi-polygon-free-archive,!provider:blockpi-free-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,mainnet,,,,,,,,,,,,,,,,
blockpi-polygon-pay-as-you-go-archive,!provider:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,mainnet,,,,,,,,,,,,,,,,
blockpi-polygon-enterprise-archive,!provider:blockpi-enterprise-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,mainnet,,,,,,,,,,,,,,,,
chainbase-polygon-free,!provider:chainbase-free-custom,"[""[Buy](https://platform.chainbase.com/pricing)"",""[Docs](https://docs.chainbase.com/platform/features/api/chain-rpc)""]",,,mainnet,,,,,,,,,,,,,,,,
chainbase-polygon-pay-as-you-go,!provider:chainbase-pay-as-you-go-custom,"[""[Buy](https://platform.chainbase.com/pricing)"",""[Docs](https://docs.chainbase.com/platform/features/api/chain-rpc)""]",,,mainnet,,,,,,,,,,,,,,,,
chainbase-polygon-enterprise,!provider:chainbase-enterprise-custom,"[""[Buy](https://platform.chainbase.com/pricing)"",""[Docs](https://docs.chainbase.com/platform/features/api/chain-rpc)""]",,,mainnet,,,,,,,,,,,,,,,,
chainnodes-polygon-free-archive,!provider:chainnodes-free-full-archive,"[""[Buy](https://www.chainnodes.org/pricing)"",""[Docs](https://www.chainnodes.org/docs)""]",,,mainnet,,,,,,,,,,,,,,,,
chainnodes-polgon-pay-as-you-go-archive,!provider:chainnodes-pay-as-you-go-full-archive,"[""[Buy](https://www.chainnodes.org/pricing)"",""[Docs](https://www.chainnodes.org/docs)""]",,,mainnet,,,,,,,,,,,,,,,,
chainstack-polygon-free,!provider:chainstack-free-recent-state,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/)""]",,,mainnet,,,,,,,,,,,,,,,,
chainstack-polygon-pay-as-you-go-archive,!provider:chainstack-pay-as-you-go-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/)""]",,,mainnet,,,,,,,,,,,,,,,,
chainstack-polygon-enterprise-archive,!provider:chainstack-enterprise-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/)""]",,,mainnet,,,,,,,,,,,,,,,,
chainstack-amoy-free,!provider:chainstack-free-recent-state,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/)""]",,,amoy,,,,,,,,,,,,,,,,
chainstack-amoy-pay-as-you-go-archive,!provider:chainstack-pay-as-you-go-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/)""]",,,amoy,,,,,,,,,,,,,,,,
chainstack-amoy-enterprise-archive,!provider:chainstack-enterprise-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/)""]",,,amoy,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,!provider:getblock-free-recent-state,"[""[Website](https://getblock.io/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
getblock-amoy-free-recent-state,!provider:getblock-free-recent-state,"[""[Website](https://getblock.io/)"",""[Docs](https://docs.getblock.io/)""]",,,amoy,,,,,,,,,,,,,,,,
getblock-amoy-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,amoy,,,,,,,,,,,,,,,,
getblock-amoy-enterprise-recent-state,!provider:getblock-enterprise-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,amoy,,,,,,,,,,,,,,,,
getblock-amoy-dedicated-recent-state,!provider:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,amoy,,,,,,,,,,,,,,,,
getblock-amoy-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/)""]",,,amoy,,,,,,,,,,,,,,,,
getblock-amoy-enterprise-full-archive,!provider:getblock-enterprise-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,amoy,,,,,,,,,,,,,,,,
getblock-amoy-dedicated-full-archive,!provider:getblock-dedicated-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/)""]",,,amoy,,,,,,,,,,,,,,,,
rpcfast-one-free-recent-state,!provider:rpcfast-free-recent-state,"[""[Website](https://rpcfast.com/dedicated-arbitrum-nodes)"",""[Docs](https://docs.rpcfast.com)"",""[Contact](https://docs.rpcfast.com/contacts-and-support/contacts)""]",,,mainnet,,,,,,,,,,,,,,,,
rpcfast-one-enterprise-full-archive,!provider:rpcfast-enterprise-full-archive,"[""[Website](https://rpcfast.com/dedicated-arbitrum-nodes)"",""[Docs](https://docs.rpcfast.com)"",""[Contact](https://docs.rpcfast.com/contacts-and-support/contacts)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-amoy-enterprise-full-archive,!provider:quicknode-enterprise-full-archive,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-enterprise-recent-state,!provider:quicknode-enterprise-recent-state,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-free-full-archive,!provider:quicknode-free-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-free-recent-state,!provider:quicknode-free-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-build-recent-state,!provider:quicknode-build-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-accelerate-recent-state,!provider:quicknode-accelerate-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-scale-recent-state,!provider:quicknode-scale-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-business-recent-state,!provider:quicknode-business-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-build-full-archive,!provider:quicknode-build-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-accelerate-full-archive,!provider:quicknode-accelerate-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-scale-full-archive,!provider:quicknode-scale-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-amoy-business-full-archive,!provider:quicknode-business-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,amoy,,,,,,,,,,,,,,,,
quicknode-mainnet-enterprise-full-archive,!provider:quicknode-enterprise-full-archive,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-enterprise-recent-state,!provider:quicknode-enterprise-recent-state,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-free-full-archive,!provider:quicknode-free-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-free-recent-state,!provider:quicknode-free-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-build-recent-state,!provider:quicknode-build-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-recent-state,!provider:quicknode-accelerate-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-recent-state,!provider:quicknode-scale-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-business-recent-state,!provider:quicknode-business-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-build-full-archive,!provider:quicknode-build-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-full-archive,!provider:quicknode-accelerate-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-full-archive,!provider:quicknode-scale-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-mainnet-business-full-archive,!provider:quicknode-business-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,mainnet,,,,,,,,,,,,,,,,
quicknode-cardona-enterprise-full-archive,!provider:quicknode-enterprise-full-archive,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
quicknode-cardona-enterprise-recent-state,!provider:quicknode-enterprise-recent-state,"[""[Contact](https://www.quicknode.com/contact-us?inquiry_topic=Enterprise%20Plan%20Upgrade)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
quicknode-cardona-free-full-archive,!provider:quicknode-free-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
quicknode-cardona-free-recent-state,!provider:quicknode-free-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
quicknode-cardona-build-recent-state,!provider:quicknode-build-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
quicknode-cardona-accelerate-recent-state,!provider:quicknode-accelerate-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
quicknode-cardona-scale-recent-state,!provider:quicknode-scale-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
quicknode-cardona-business-recent-state,!provider:quicknode-business-recent-state,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
quicknode-cardona-build-full-archive,!provider:quicknode-build-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
quicknode-cardona-accelerate-full-archive,!provider:quicknode-accelerate-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
quicknode-cardona-scale-full-archive,!provider:quicknode-scale-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
quicknode-cardona-business-full-archive,!provider:quicknode-business-full-archive,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/welcome)""]",,,cardona,,,,,,,,,,,,,,,,
