slug,provider,chain,address,technology,plan,trial,accessPrice,queryPrice,starred,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,uptimeSla,bandwidthSla,blocksBehindSla,supportSla
envio-mainnet-free,!provider:envio-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://envio.dev/#hyperindex)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/optimism#indexing-optimism-data-with-envio)""]",,,,
envio-mainnet-pay-as-you-go,!provider:envio-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/optimism#indexing-optimism-data-with-envio)""]",,,,
envio-mainnet-dedicated,!provider:envio-dedicated,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/optimism#indexing-optimism-data-with-envio)""]",,,,
envio-testnet-free,!provider:envio-free,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://envio.dev/#hyperindex)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/optimism-sepolia#indexing-optimism-sepolia-data-with-envio)""]",,,,
envio-testnet-pay-as-you-go,!provider:envio-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/optimism-sepolia#indexing-optimism-sepolia-data-with-envio)""]",,,,
envio-testnet-dedicated,!provider:envio-dedicated,testnet,,,,,,,,,,,,,,,,,"[""[Contact](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/optimism-sepolia#indexing-optimism-sepolia-data-with-envio)""]",,,,
goldrush-mainnet-free,!provider:goldrush-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://goldrush.dev/chains/optimism/)"",""[Docs](https://goldrush.dev/docs/chains/optimism#optimism)""]",,,,
goldrush-mainnet-pay-as-you-go,!provider:goldrush-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/optimism#optimism)""]",,,,
goldrush-mainnet-enterprise,!provider:goldrush-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/optimism#optimism)""]",,,,
goldrush-testnet-free,!provider:goldrush-free,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://goldrush.dev/chains/optimism/)"",""[Docs](https://goldrush.dev/docs/chains/optimism#optimism)""]",,,,
goldrush-testnet-pay-as-you-go,!provider:goldrush-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/optimism#optimism)""]",,,,
goldrush-testnet-enterprise,!provider:goldrush-enterprise,testnet,,,,,,,,,,,,,,,,,"[""[Contact](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/optimism#optimism)""]",,,,
goldsky-mainnet-free,!provider:goldsky-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://goldsky.com/products/subgraphs)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",,,,
goldsky-mainnet-pay-as-you-go,!provider:goldsky-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#optimism)""]",,,,
goldsky-mainnet-enterprise,!provider:goldsky-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#optimism)""]",,,,
goldsky-testnet-free,!provider:goldsky-free,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://goldsky.com/products/subgraphs)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",,,,
goldsky-testnet-pay-as-you-go,!provider:goldsky-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#optimism)""]",,,,
goldsky-testnet-enterprise,!provider:goldsky-enterprise,testnet,,,,,,,,,,,,,,,,,"[""[Contact](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#optimism)""]",,,,
indexing-co-mainnet-free,!provider:indexing-co-free,mainnet,,,,,,,,,,,,,,,,,"[""[Docs](https://docs.indexing.co/networks/optimism)"",""[Contact Sales](mailto:hello@indexing.co)""]",,,,
indexing-co-testnet-free,!provider:indexing-co-free,testnet,,,,,,,,,,,,,,,,,"[""[Docs](https://docs.indexing.co/networks/optimism_sepolia)"",""[Contact Sales](mailto:hello@indexing.co)""]",,,,
indexing-co-mainnet-pay-as-you-go,!provider:indexing-co-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Docs](https://docs.indexing.co/networks/optimism)"",""[Contact Sales](mailto:hello@indexing.co)""]",,,,
indexing-co-testnet-pay-as-you-go,!provider:indexing-co-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,"[""[Docs](https://docs.indexing.co/networks/optimism_sepolia)"",""[Contact Sales](mailto:hello@indexing.co)""]",,,,
indexing-co-mainnet-enterprise,!provider:indexing-co-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Docs](https://docs.indexing.co/networks/optimism)"",""[Contact Sales](mailto:hello@indexing.co)""]",,,,
indexing-co-testnet-enterprise,!provider:indexing-co-enterprise,testnet,,,,,,,,,,,,,,,,,"[""[Docs](https://docs.indexing.co/networks/optimism_sepolia)"",""[Contact Sales](mailto:hello@indexing.co)""]",,,,
mobula-mainnet-free,!provider:mobula-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://mobula.io/)"",""[Docs](https://docs.mobula.io/blockchains/optimistic#optimistic)""]",,,,
mobula-mainnet-pay-as-you-go,!provider:mobula-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://docs.mobula.io/pricing)"",""[Docs](https://docs.mobula.io/blockchains/optimistic#optimistic)""]",,,,
mobula-mainnet-enterprise,!provider:mobula-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Enterprise](https://t.me/mobuladevelopers?start=Enterprise)"",""[Docs](https://docs.mobula.io/blockchains/optimistic#optimistic)""]",,,,
onfinality-mainnet-free,!provider:onfinality-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://onfinality.io/en/networks/optimism)"",""[Docs](https://documentation.onfinality.io/support/optimism)""]",,,,
onfinality-mainnet-pay-as-you-go,!provider:onfinality-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://indexing.onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/support/pricing)""]",,,,
onfinality-mainnet-enterprise,!provider:onfinality-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://indexing.onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/support/pricing)""]",,,,
onfinality-testnet-free,!provider:onfinality-free,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://onfinality.io/en/networks/optimism-sepolia)"",""[Docs](https://documentation.onfinality.io/support/optimism)""]",,,,
onfinality-testnet-pay-as-you-go,!provider:onfinality-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,"[""[Buy](https://indexing.onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/support/pricing)""]",,,,
onfinality-testnet-enterprise,!provider:onfinality-enterprise,testnet,,,,,,,,,,,,,,,,,"[""[Contact](https://indexing.onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/support/pricing)""]",,,,
ormi-mainnet-free,!provider:ormi-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://ormilabs.com/products/0xgraph)"",""[Docs](https://docs.ormilabs.com/subgraphs/overview)""]",,,,
ormi-mainnet-pay-as-you-go,!provider:ormi-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://ormilabs.com/pricing)"",""[Docs](https://docs.ormilabs.com/data-api-v2/overview#supported-networks)""]",,,,
ormi-mainnet-enterprise,!provider:ormi-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://calendly.com/ormilabs)"",""[Docs](https://docs.ormilabs.com/data-api-v2/overview#supported-networks)""]",,,,
ormi-testnet-free,!provider:ormi-free,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://ormilabs.com/products/0xgraph)"",""[Docs](https://docs.ormilabs.com/subgraphs/overview)""]",,,,
ormi-testnet-pay-as-you-go,!provider:ormi-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,"[""[Buy](https://ormilabs.com/pricing)"",""[Docs](https://docs.ormilabs.com/data-api-v2/overview#supported-networks)""]",,,,
ormi-testnet-enterprise,!provider:ormi-enterprise,testnet,,,,,,,,,,,,,,,,,"[""[Contact](https://calendly.com/ormilabs)"",""[Docs](https://docs.ormilabs.com/data-api-v2/overview#supported-networks)""]",,,,
sqd-mainnet-free,!provider:sqd-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://www.sqd.ai/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
sqd-mainnet-pay-as-you-go,!provider:sqd-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://docs.sqd.ai/cloud/pricing/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
sqd-testnet-free,!provider:sqd-free,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://www.sqd.ai/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
sqd-testnet-pay-as-you-go,!provider:sqd-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,"[""[Buy](https://docs.sqd.ai/cloud/pricing/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
subquery-mainnet-free,!provider:subquery-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://subquery.network/indexer)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/optimism.html#your-project-manifest-file)""]",,,,
subquery-mainnet-pay-as-you-go,!provider:subquery-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://subquery.network/doc/subquery_network/node_operators/rewards.html#pricing-strategy)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/optimism.html#your-project-manifest-file)""]",,,,
subquery-mainnet-enterprise,!provider:subquery-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://subquery.network/indexer)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/optimism.html#your-project-manifest-file)""]",,,,
thegraph-mainnet-free,!provider:thegraph-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://thegraph.com/subgraphs/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/optimism/)""]",,,,
thegraph-mainnet-pay-as-you-go,!provider:thegraph-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/optimism/)""]",,,,
thegraph-mainnet-enterprise,!provider:thegraph-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/optimism/)""]",,,,
thegraph-testnet-free,!provider:thegraph-free,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://thegraph.com/subgraphs/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/optimism-sepolia/)""]",,,,
thegraph-testnet-pay-as-you-go,!provider:thegraph-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,"[""[Buy](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/optimism-sepolia/)""]",,,,
thegraph-testnet-enterprise,!provider:thegraph-enterprise,testnet,,,,,,,,,,,,,,,,,"[""[Contact](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/optimism-sepolia/)""]",,,,
thirdweb-mainnet-free,!provider:thirdweb-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://thirdweb.com/optimism)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
thirdweb-mainnet-pay-as-you-go,!provider:thirdweb-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
thirdweb-mainnet-enterprise,!provider:thirdweb-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
thirdweb-testnet-free,!provider:thirdweb-free,testnet,,,,,,,,,,,,,,,,,"[""[Website](https://thirdweb.com/op-sepolia-testnet)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
thirdweb-testnet-pay-as-you-go,!provider:thirdweb-pay-as-you-go,testnet,,,,,,,,,,,,,,,,,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
thirdweb-testnet-enterprise,!provider:thirdweb-enterprise,testnet,,,,,,,,,,,,,,,,,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
