slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,starred
orbiter-mainnet,!provider:orbiter,"[""[Bridge](https://orbiter.finance)"",""[Docs](https://docs.orbiter.finance)""]",mainnet,Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]","[""arbitrum"",""bnb chain"",""base"",""blast"",""ethereum"",""ink"",""linea"",""lisk"",""mode"",""optimism"",""polygon"",""redstone"",""scroll"",""solana"",""soneium"",""unichain"",""world chain"",""zora"",""zksyncera"",""eni"",""x layer"",""sui"",""celo"",""juchain"",""bob"",""story"",""manta"",""arbitrum nova"",""ape chain"",""zetachain"",""hemi"",""mint"",""hashkey"",""superseed"",""gravity"",""zero"",""rootstock"",""corn"",""superposition"",""zk fair"",""morph"",""nero"",""conflux"",""hpp"",""hyperliquid"",""paradex"",""merlin"",""katana"",""berachain"",""immutable x"",""plume"",""sophon"",""opbnb"",""kaia"",""tron"",""fuel"",""sonic"",""cyber"",""bitlayer"",""zircuit"",""starknet"",""fraxtal"",""avalanche"",""eclipse"",""core"",""ton"",""bevm"",""zklink nova"",""b² network"",""mantle"",""zksync lite"",""ronin"",""sonic svm"",""polygon zkevm"",""abstract"",""movement"",""sui"",""taiko""]","[""Asset Transfer""]",,"[""Low cost"",""Instant confirmation""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Peer-to-peer intents & liquidity providers,,Decentralized,"[""Web UI""]",FALSE
owlto-mainnet,!provider:owlto,"[""[Bridge](https://owlto.finance)"",""[Docs](https://docs.owlto.finance)""]",mainnet,Cross‑rollup Bridge,NULL,NULL,TRUE,"[""Discord""]","[""eclipse"",""soneium"",""katana"",""unichain"",""ink"",""abstract"",""base"",""arbitrum"",""ethereum"",""linea"",""optimism"",""alienx"",""arbitrum nova"",""avalanche"",""berachain"",""blast"",""bnb chain"",""bob"",""core"",""cyber"",""duckchain"",""gnosis"",""gravity"",""hashkey"",""hemi"",""lens"",""lisk"",""manta"",""mantle"",""matchain"",""metis"",""mint"",""mode"",""morph"",""opbnb"",""over"",""polygon"",""polygon zkevm"",""rari"",""redstone"",""scroll"",""shape"",""solana"",""story"",""swan"",""taiko"",""u2u solaris"",""worldchain"",""x layer"",""zeta"",""zksync era"",""zero"",""zircuit"",""zora""]","[""Asset Transfer""]",,"[""Fast confirmation"",""Low fees""]","[""ETH"",""USDC"",""USDT""]",Gas Fee + protocol fee,TRUE,Relayer-based verification with ZK/optimistic fallback,,Partially Decentralized,"[""Web UI""]",FALSE
rhinofi-mainnet,!provider:rhinofi,"[""[Bridge](https://app.rhino.fi/bridge)"",""[Docs](https://docs.rhino.fi/get-started/introduction)""]",mainnet,Cross-chain Stablecoin Bridge,NULL,NULL,TRUE,"[""Discord""]","[""arbitrum"",""ethereum"",""polygon"",""optimism"",""bnb chain"",""avalanche"",""base"",""celo"",""gnosis"",""ink"",""kaia"",""katana"",""linea"",""mantle"",""opbnb"",""plasma"",""plume"",""scroll"",""sonic"",""taiko"",""unichain"",""zircuit"",""zksync era""]","[""Stablecoin Bridge API""]",,"[""Smart deposit API from CEXes"",""Cross-chain liquidity flows""]","[""Stablecoins""]",Gas Fee + liquidity fee,TRUE,"Liquidity-outpost pools, smart deposit routing","[""Independent audits reported""]",Partially Decentralized,"[""TypeScript""]",FALSE
rubic-mainnet,!provider:rubic,"[""[Bridge](https://rubic.exchange)"",""[Docs](https://docs.rubic.finance/)""]",mainnet,Bridge Aggregator,NULL,NULL,TRUE,"[""Discord""]","[""polygon"",""bnb chain"",""tron"",""unichain"",""bitcoin"",""solana"",""base"",""arbitrum"",""ethereum"",""linea"",""optimism"",""zksync era"",""ton"",""avalanche"",""berachain"",""blast"",""scroll"",""morph"",""fraxtal"",""soneium"",""mode"",""mantle"",""metis"",""manta pacific"",""fantom"",""zkevm"",""pulsechain"",""taiko"",""hemi"",""filecoin"",""x layer"",""bahamut"",""dash"",""monero"",""cardano"",""cosmos"",""litecoin"",""xrp ledger"",""aptos"",""polkadot"",""stellar"",""near"",""zilliqa"",""tezos"",""xdc"",""kava cosmos"",""neo"",""gnosis"",""flare""]","[""Bridge API"",""Swap API""]",,"[""15k+ tokens"",""100+ chains supported""]","[""ETH"",""ERC‑20""]",Depends on underlying bridge,TRUE,Security inherited from selected bridge,,,"[""JS SDK"",""Web UI""]",FALSE
smolrefuel-mainnet,!provider:smolrefuel,"[""[Bridge](https://smolrefuel.com)"",""[Docs](https://docs.smolrefuel.com)""]",mainnet,Gas Refuel Bridge,NULL,NULL,TRUE,"[""Discord""]","[""og"",""abstract"",""adventure layer"",""ailayer"",""apechain"",""aptos"",""arbitrum nova"",""arbitrum one"",""astar"",""aurora"",""avalanche"",""b² network"",""base"",""beam"",""berachain"",""bevm"",""bitlayer"",""blast"",""bob"",""boba"",""botanix"",""bnb chain"",""callisto"",""camp"",""celo"",""civitia"",""coredao"",""corn"",""cronos"",""cronoszkevm"",""cyber"",""debank"",""degen"",""derive"",""dogechain"",""dymension"",""echelon"",""eclipse"",""embr"",""endurance"",""ethereum"",""etherlink"",""ethw"",""evmos"",""exsat"",""flame"",""flare"",""flow evm"",""fluence"",""forma"",""fraxtal"",""fuse"",""gatelayer"",""gnosis"",""goat"",""gravity"",""ham"",""harmony"",""hashkey"",""hemi"",""hyperliquid"",""hyperliquid evm"",""immutable zkevm"",""initia"",""injective"",""ink"",""katana"",""kava"",""klaytn"",""lens"",""linea"",""lisk"",""lukso"",""manta"",""mantle"",""matchain"",""merlin"",""metal"",""metis"",""mezo"",""milkyway"",""mint"",""mode"",""moonbeam"",""moonriver"",""morph"",""neon evm"",""nibiru"",""numbers"",""oasys"",""opbnb"",""optimism"",""optopia"",""peaq"",""plasma"",""plume"",""polygon"",""polygon zkevm"",""polynomial"",""prom"",""pulsechain"",""rari"",""ronin"",""rootstock"",""saakuru"",""sanko"",""satoshivm"",""scroll"",""sei"",""shaper"",""silicon"",""skate"",""solana"",""somnia"",""soneium"",""sonic"",""sophon"",""story"",""sui"",""superposition"",""superseed"",""swan"",""swell"",""syndicate frame"",""taiko"",""telos"",""thundercore"",""tron"",""unichain"",""unit0"",""vana"",""viction"",""vizing"",""wemix"",""world chain"",""x layer"",""xai"",""xdc"",""xrp"",""xrpl evm"",""zero"",""zeta"",""zircuit"",""zkcandy"",""zkfair"",""zklink nova"",""zksync era"",""zora""]","[""Gas Token Swap""]",,"[""Gas refueling across 80+ chains"",""Swap any token to gas without pre-funding""]","[""ETH"",""ERC‑20""]",Gas Fee swap model,FALSE,"Non-custodial, gas-only utility",,Decentralized,"[""TypeScript""]",FALSE
squid-mainnet,!provider:squid,"[""[Bridge](https://app.squidrouter.com/)"",""[Docs](https://docs.squidrouter.com)""]",mainnet,Cross‑chain Swaps (via Axelar GMP),NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""bitcoin"",""solana"",""arbitrum"",""optimism"",""base"",""bnb chain"",""osmosis"",""agoric"",""akash"",""archway"",""assetmantle"",""avalanche"",""axelar"",""babylon"",""berachain"",""bitcanna"",""bitsong"",""blast"",""carbon"",""celestia"",""celo"",""chain4energy"",""cheqd"",""chihuahua"",""comdex"",""coreum"",""cosmos"",""crescent"",""dchain"",""decentr"",""desmos"",""dydx"",""dymension"",""elys"",""evmos"",""fantom"",""fetch"",""filecoin"",""flippando"",""fraxtal"",""gnosis"",""gravity bridge"",""humans.ai"",""hyperevm"",""immutable"",""impact hub"",""injective"",""irisnet"",""jackal"",""juno"",""kava evm"",""kava ibc"",""ki"",""kujira"",""kyve"",""lava"",""likecoin"",""linea"",""lum network"",""mantle"",""mars hub"",""migaloo"",""moonbeam"", ""neutron"",""ngmi chain"",""nibiru"", ""noble"",""nolus"",""omniflix"",""peaq"",""persistence"",""polygon"",""quicksilver"",""regen"",""saga mainnet"",""saga evm"",""scroll"",""secret"",""sei"",""sentinel"",""sommelier"", ""soneium"",""sonic"",""soundmoney"",""stargaze"",""stellar"",""stride"",""sui"",""teritory"",""terra"",""terra classic"",""umee"",""xion"",""xrpl"",""xrpl evm""]","[""Swaps"",""Messaging""]",,"[""Composable Cross‑chain Contracts""]","[""ETH"",""ERC‑20""]",Gas Fee + relayer fee,TRUE,Secured via Axelar network,,Decentralized,"[""TypeScript SDK"",""Web UI""]",FALSE
stargate-mainnet,!provider:stargate,"[""[Bridge](https://stargate.finance/)"",""[Docs](https://stargateprotocol.gitbook.io/stargate/)""]",mainnet,Omnichain Liquidity Layer,NULL,NULL,TRUE,"[""Discord"",""Email""]","[""base"",""plasma"",""arbitrum"",""optimism"",""linea"",""ethereum"",""unichain"",""soneium"",""hyperliquid"",""solana"",""og"",""abstract"",""ape"",""abstract"",""aptos"",""near"",""avalanche"",""berachain"",""blast"",""bnb chain"",""bob"",""botanix"",""celo"",""core"",""corn"",""cronos"",""cyber"",""degen"",""edu"",""ethereal"",""etherlink"",""fantom"",""flare"",""flow"",""fraxtal"",""fuse"",""glue"",""gnosis"",""goat"",""gravity"",""hedera"",""hemi"",""hyperevm"",""ink"",""iota"",""kaia"",""katana"",""kava"",""lightlink"",""lisk"",""manta"",""mantle"",""metis"",""mode"",""moonbeam"",""moon"",""morph"",""nibiru"",""opbnb"",""peaq"",""plume"",""polygon"",""zkevm"",""rari"",""rootstock"",""sanko"",""scroll"",""sei"",""somnia"",""sonic"",""soph"",""story"",""sui"",""superposition"",""swell"",""tac"",""taiko"",""telosevm"", ""ton"",""tron"",""vana"",""viction"",""worldchain"",""x layer"",""xdc"",""xpla"",""zircuit"",""zksync"",""zkverify"",""zora""]","[""REST API"",""GraphQL""]","[""Pooled Liquidity Transfers"",""OFT Cross-chain Transfers""]","[""Unified Liquidity Pools"",""Low-Fee (0.06%)"",""OFT Support""]","[""ETH"",""USDC"",""USDT"",""ERC‑20"",""OFT""]","Gas Fee, Protocol Fee",TRUE,Decentralized pools secured by LayerZero consensus,"[""Audit(s) by DeFi teams""]",Decentralized,"[""TypeScript""]",FALSE
superbridge-mainnet,!provider:superbridge,"[""[Bridge](https://superbridge.app/)"",""[Docs](https://docs.superbridge.app/)""]",mainnet,Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""base"",""bnb chain"",""arbitrum one"",""unichain"",""optimism"",""soneium"",""linea"",""world chain"",""ink"",""celo"",""swellchain"",""superseed"",""bob"",""mode"",""zora"",""lisk"",""redstone"",""hashkey"",""ethernity"",""mint"",""swan"",""orderly"",""shape"",""derive"",""settlus"",""cyber"",""arena z"",""polynomial"",""lumio"",""funki"",""automata"",""ancient8"",""metal l2""]","[""Asset Transfer""]",,"[""Native USDC via CCTP"",""Easy Mode withdrawals""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Economic security via OP‑Stack / Nitro and CCTP for USDC,,Decentralized,"[""Web UI"",""SDK CLI?""]",FALSE
symbiosis-mainnet,!provider:symbiosis,"[""[Bridge](https://app.symbiosis.finance/)"",""[Docs](https://docs.symbiosis.finance/)""]",mainnet,Cross‑chain AMM Swap Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""bitcoin"",""solana"",""tron"",""bnb chain"",""arbitrum one"",""base"",""abstract"",""apechain"",""arbitrum nova"",""avalanche"",""b² network"",""bahamut"",""berachain"",""blast"",""boba eth"",""core"",""cronos"",""cronos zkevm"",""fraxtal"",""gnosis"",""gravity"",""hyperevm"",""katana"",""kava"",""linea"",""manta"",""mantle"",""merlin"",""metis"",""mode"",""morph"",""opbnb"",""optimism"",""plasma"",""polygon"",""polygon zkevm"",""rootstock"",""scroll"",""sei v2"",""solana"",""soneium"",""sonic"",""symbiosis"",""taiko"",""telos"",""ton"",""unichain"",""zetachain"",""zklink"",""zksync era""]","[""Cross‑chain Swap"",""Bridge""]",,"[""Aggregated liquidity across networks""]","[""ETH"",""USDC"",""ARB""]",Gas Fee + protocol fee,TRUE,Security via canonical chains,"[""Trail of Bits""]",Decentralized,"[""Web UI"",""SDK""]",FALSE
synapse-mainnet,!provider:synapse,"[""[Bridge](https://synapseprotocol.com/)""]",mainnet,Cross-chain Asset & Messaging Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""arbitrum"",""polygon"",""avalanche"",""hyberevm"",""optimism"",""berachain"",""unichain"",""world chain"",""base"",""blast"",""bnb chain"",""linea"",""scroll"",""dfk chain"",""canto"",""fantom"",""klaytn"",""aurora"",""boba"",""cronos"",""harmony"",""metis"",""dogechain"",""moonbeam"",""moonriver"",""hyperliquid""]","[""Asset Transfer"",""Cross-chain Contract Calls""]",,"[""Generalized Messaging"",""Token Swap""]","[""ERC-20"",""Stablecoins""]",Gas Fee + Bridge Fee,TRUE,Liquidity pools with smart contract messaging,"[""Security Audits Available""]",Decentralized,"[""TypeScript""]",FALSE
utexo-mainnet,!provider:utexo,"[""[Bridge](https://bridge.utexo.com/)"", ""[Docs](https://docs.tricorn.network/docs/getting-started/)""]",mainnet,Cross-chain Messaging,,,FALSE,"[""Discord"",""Email""]",,"[""Cross-chain Messaging"",""Asset Transfer""]","[""Custom Dashboards""]","[""Multi-chain Liquidity"",""Fast Transfers""]","[""USDC"",""USDT"", ""AAVE"", ""DAI"", ""ETH"", ""LINK""]",Gas Fee,TRUE,Secured by decentralized validators,"[""Audit by Halborn, 2024"", ""Audit by Hacken, 2024""]",Decentralized,"[""TypeScript""]",FALSE
altitude-optimism,!provider:altitude,"[""[Bridge](https://www.altitudedefi.com/transfer)"",""[Docs](https://altitude-1.gitbook.io/altitude/)""]",mainnet,LayerZero-based Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""polygon"",""fantom"",""arbitrum"",""optimism"",""linea"",""mantle""]","[""Asset Transfer""]",,"[""Built on LayerZero"",""Decentralized routing""]","[""ETH"",""USDC""]",Gas Fee,TRUE,Security via LayerZero DVN & oracle messaging,,Decentralized,"[""Web UI""]",FALSE
asterizm-optimism,!provider:asterizm,"[""[Bridge](https://asterizm.io/)"",""[Docs](https://docs.asterizm.io/)""]",mainnet,Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""polygon"",""fantom"",""bnb smart chain"",""optimism"",""arbitrum"",""avalanche"",""celo"",""boba"",""aurora"",""venidium"",""bahamut"",""base"",""linea"",""mantle"",""gnosis"",""everscale"",""venom"",""xdc"",""ton"",""solana"",""lemonchain"",""torus"",""areon"",""units"",""redbelley"",""supra""]","[""Cross‑chain Messaging""]",,"[""Composable messaging"",""Intent‑based""]","[""ETH"",""USDC""]",Gas Fee + relayer fee,TRUE,Secured by validators and messaging relayers,,Decentralized,"[""Web UI""]",FALSE
axelar-optimism,!provider:axelar,"[""[Bridge](https://www.axelar.network/)"",""[Docs](https://docs.axelar.dev/)""]",mainnet,General Message Passing,NULL,NULL,TRUE,"[""Discord"",""Telegram"",""X""]","[""ethereum"",""bitcoin"",""solana"",""arbitrum"",""optimism"",""base"",""bnb chain"",""osmosis"",""agoric"",""akash"",""archway"",""assetmantle"",""avalanche"",""axelar"",""babylon"",""berachain"",""bitcanna"",""bitsong"",""blast"",""carbon"",""celestia"",""celo"",""chain4energy"",""cheqd"",""chihuahua"",""comdex"",""coreum"",""cosmos"",""crescent"",""dchain"",""decentr"",""desmos"",""dydx"",""dymension"",""elys"",""evmos"",""fantom"",""fetch"",""filecoin"",""flippando"",""fraxtal"",""gnosis"",""gravity bridge"",""humans.ai"",""hyperevm"",""immutable"",""impact hub"",""injective"",""irisnet"",""jackal"",""juno"",""kava evm"",""kava ibc"",""ki"",""kujira"",""kyve"",""lava"",""likecoin"",""linea"",""lum network"",""mantle"",""mars hub"",""migaloo"",""moonbeam"", ""neutron"",""ngmi chain"",""nibiru"",""noble"",""nolus"",""omniflix"",""peaq"",""persistence"",""polygon"",""quicksilver"",""regen"",""saga mainnet"",""saga evm"",""scroll"",""secret"",""sei"",""sentinel"",""sommelier"", ""soneium"",""sonic"",""soundmoney"",""stargaze"",""stellar"",""stride"",""sui"",""teritory"",""terra"",""terra classic"",""umee"",""xion"",""xrpl"",""xrpl evm""]","[""REST"",""GraphQL""]","[""Yes (Axelarscan)""]","[""Cross‑chain Messaging""]","[""wFIL"",""wETH"",""wBTC"",""USDC"",""USDT""]",[Gas Fee](https://support.edge.app/hc/en-us/articles/36422794159387-Axelar-AXL-Network-Fees),TRUE,Proof-of-stake permissionless validator set controls Axelar security protocols,"[""[GitHub](https://github.com/axelarnetwork/audits)""]",Decentralized,"[""TypeScript SDK""]",FALSE
chainlink-bridge-optimism,!provider:chainlink-bridge,"[""[Bridge](https://chain.link/cross-chain)""]",mainnet,Oracle‑Powered Asset & Messaging Bridge,NULL,NULL,TRUE,"[""Discord""]","[""ethereum"",""arbitrum"",""avalanche"",""base"",""optimism"",""linea"",""mantle"",""bnb chain"",""polygon"",""aptos"",""solana"",""celo"",""blast"",""gnosis"",""metis"",""astar"",""mode""]","[""Cross‑chain Messaging"",""Token Transfer""]",,"[""Based on Chainlink CCIP"",""Enterprise‑grade relayer architecture""]","[""ERC‑20"",""Stablecoins"",""NFT""]",Gas Fee + relayer fee,TRUE,Security by Chainlink decentralized oracle network,"[""Multiple audits""]",Decentralized,"[""TypeScript""]",FALSE
