slug,provider,actionButtons,toolType,tag,price,planName,planType,description,starred
chainlink-ccip,!provider:chainlink-ccip,,,,,,,,
codeslaw,!provider:codeslaw,,,,,,,,
coinflow,!provider:coinflow,,,,,,,,
coinsdo,!provider:coinsdo,,,,,,,,
create-eth-app,!provider:create-eth-app,,,,,,,,
crossmint-enterprise,!provider:crossmint-enterprise,,,,,,,,
crossmint-free,!provider:crossmint-free,,,,,,,,
curvegrid-enterprise,!provider:curvegrid-enterprise,,,,,,,,
curvegrid-free,!provider:curvegrid-free,,,,,,,,
cyvers,!provider:cyvers,,,,,,,,
dapp-launchpad,!provider:dapp-launchpad,,,,,,,,
dapprovals-enterprise,!provider:dapprovals-enterprise,,,,,,,,
dapprovals-pay-as-you-go,!provider:dapprovals-pay-as-you-go,,,,,,,,
datacurve-enterprise,!provider:datacurve-enterprise,,,,,,,,
datacurve-pay-as-you-go,!provider:datacurve-pay-as-you-go,,,,,,,,
decubate-tms,!provider:decubate-tms,,,,,,,,
echidna,!provider:echidna,,,,,,,,
ercx-enteprise,!provider:ercx-enteprise,,,,,,,,
ercx-free,!provider:ercx-free,,,,,,,,
ercx-standard,!provider:ercx-standard,,,,,,,,
eth-calldata-decoder,!provider:eth-calldata-decoder,,,,,,,,
eth-tx,!provider:eth-tx,,,,,,,,
ethereum-boilerplate,!provider:ethereum-boilerplate,,,,,,,,
ethereum-etl,!provider:ethereum-etl,,,,,,,,
etherface-enterprise,!provider:etherface-enterprise,,,,,,,,
etherface-free,!provider:etherface-free,,,,,,,,
ethersplay,!provider:ethersplay,,,,,,,,
ethui,!provider:ethui,,,,,,,,
evm-2,!provider:evm-2,,,,,,,,
evm-toolkit,!provider:evm-toolkit,,,,,,,,
evmdis,!provider:evmdis,,,,,,,,
failsafe,!provider:failsafe,,,,,,,,
forge,!provider:forge,,,,,,,,
ganache,!provider:ganache,,,,,,,,
gas-station-network,!provider:gas-station-network,,,,,,,,
hela,!provider:hela,,,,,,,,
hokusai,!provider:hokusai,,,,,,,,
intellij-solidity-plugin,!provider:intellij-solidity-plugin,,,,,,,,
ipfs,!provider:ipfs,,,,,,,,
jeb-decompiler,!provider:jeb-decompiler,,,,,,,,
kevm,!provider:kevm,,,,,,,,
krebit,!provider:krebit,,,,,,,,
laika-ai,!provider:laika-ai,,,,,,,,
maian,!provider:maian,,,,,,,,
mini-kit,MiniKit,"[""[Docs](https://docs.base.org/onchainkit/latest/components/minikit/overview)""]",Tool,"[""React"",""Mini apps"",""Farcaster""]",$0,,Free,Official SDK for building Mini Apps that work seamlessly across Base App and other Farcaster clients,FALSE
mosaia-enterprise,!provider:mosaia-enterprise,,,,,,,,
mosaia-free,!provider:mosaia-free,,,,,,,,
mosaia-pay-as-you-go,!provider:mosaia-pay-as-you-go,,,,,,,,
multicall3,!provider:multicall3,,,,,,,,
multisender,!provider:multisender,,,,,,,,
onmeta,!provider:onmeta,,,,,,,,
openfort-enterprise,!provider:openfort-enterprise,,,,,,,,
openfort-free,!provider:openfort-free,,,,,,,,
openfort-pay-as-you-go,!provider:openfort-pay-as-you-go,,,,,,,,
orbit-db,!provider:orbit-db,,,,,,,,
oyente,!provider:oyente,,,,,,,,
paymaster,!provider:paymaster,,,,,,,,
polyzoa,!provider:polyzoa,,,,,,,,
rarible,!provider:rarible,,,,,,,,
remix,!provider:remix,,,,,,,,
reown,!provider:reown,,,,,,,,
reservoir,!provider:reservoir,,,,,,,,
robot-framework-solidity-testing-toolkit,!provider:robot-framework-solidity-testing-toolkit,,,,,,,,
rollup-codes,!provider:rollup-codes,,,,,,,,
rust-ethereum-abi,!provider:rust-ethereum-abi,,,,,,,,
safe,!provider:safe,,,,,,,,
scaffold-eth,!provider:scaffold-eth,,,,,,,,
sign-protocol,!provider:sign-protocol,,,,,,,,
smartmuv,!provider:smartmuv,,,,,,,,
sprintcheckout,!provider:sprintcheckout,,,,,,,,
stackup-enterprise,!provider:stackup-enterprise,,,,,,,,
stackup-free,!provider:stackup-free,,,,,,,,
stackup-pay-as-you-go,!provider:stackup-pay-as-you-go,,,,,,,,
sublime-ethereum,!provider:sublime-ethereum,,,,,,,,
superchain-dev-console,!provider:superchain-dev-console,,,,,,,,
swaps,!provider:swaps,,,,,,,,
swing,!provider:swing,,,,,,,,
tableland,!provider:tableland,,,,,,,,
tableland-db,!provider:tableland-db,,,,,,,,
tenderly-sandbox,!provider:tenderly-sandbox,,,,,,,,
thirdweb-aa,!provider:thirdweb-aa,,,,,,,,
thirdweb-pay,!provider:thirdweb-pay,,,,,,,,
thread-db,!provider:thread-db,,,,,,,,
toolblox-enterprise,!provider:toolblox-enterprise,,,,,,,,
toolblox-free,!provider:toolblox-free,,,,,,,,
toolblox-pay-as-you-go,!provider:toolblox-pay-as-you-go,,,,,,,,
triangle,!provider:triangle,,,,,,,,
type-chain,!provider:type-chain,,,,,,,,
univoucher,!provider:univoucher,,,,,,,,
unlock-protocol,!provider:unlock-protocol,,,,,,,,
whal3s,!provider:whal3s,,,,,,,,
zerodev,!provider:zerodev,,,,,,,,
ziion-linux-distro,!provider:ziion-linux-distro,,,,,,,,
