slug,provider,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType
alchemy-pay,Alchemy Pay,"[""[Website](https://alchemypay.org/)""]",full,"[""credit_card"",""debit_card"",""google_pay"",""apple_pay"",""pix"",""dana"",""ovo"",""gcash""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",false,"[""PCI_DSS""]",TBD
paypal-ramp,PayPal On-Ramp,"[""[Website](https://www.paypal.com/us/digital-wallet/manage-money/crypto)""]",full,"[""paypal_balance"",""bank_transfer"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY""]",false,"[""SOC2_TYPE_II"",""PCI_DSS""]",TBD
revolut-ramp,Revolut Ramp,"[""[Website](https://www.revolut.com/ramp/)""]",full,"[""revolut_pay"",""credit_card"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY""]",false,"[""PCI_DSS""]",TBD
topper,Topper (by Uphold),"[""[Website](https://www.topperpay.com/)""]",full,"[""credit_card"",""debit_card"",""google_pay"",""apple_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY"",""VE""]",false,"[""SOC2_TYPE_II""]",TBD
kado,Kado Money,"[""[Website](https://kado.money/)""]",full,"[""ach"",""sepa"",""wire_transfer"",""credit_card"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY""]",false,"[""SOC2_TYPE_I""]",TBD
wert,Wert,"[""[Website](https://wert.io/)""]",full,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY""]",false,"[""PCI_DSS""]",TBD
c14,C14,"[""[Website](https://c14.money/)""]",full,"[""credit_card"",""debit_card"",""pix"",""sepa""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY""]",false,"[""PCI_DSS""]",TBD
mesh,Mesh Connect,"[""[Website](https://meshconnect.com/)""]",full,"[""coinbase_balance"",""binance_balance"",""kraken_balance""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY""]",true,"[""SOC2_TYPE_II""]",TBD
halliday,Halliday,"[""[Website](https://halliday.xyz/)""]",full,"[""credit_card"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",false,"[""TBD""]",TBD
bitso,Bitso,"[""[Website](https://bitso.com/)""]",full,"[""spei"",""pix"",""bank_transfer""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",false,"[""CCSS_LEVEL_3""]",TBD
onramp-money,Onramp.money,"[""[Website](https://onramp.money/)""]",full,"[""upi"",""imps"",""fast"",""bank_transfer""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""US""]",false,"[""ISO27001""]",TBD
transfi,TransFi,"[""[Website](https://transfi.com/)""]",full,"[""bank_transfer"",""upi"",""gcash"",""grabpay"",""credit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",false,"[""TBD""]",TBD
kotani-pay,Kotani Pay,"[""[Website](https://kotanipay.com/)""]",full,"[""mobile_money"",""ussd""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""US""]",false,"[""TBD""]",TBD
mt-pelerin,Mt Pelerin,"[""[Website](https://www.mtpelerin.com/)""]",light,"[""bank_transfer"",""sepa"",""swift""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY"",""US""]",false,"[""TBD""]",TBD
monerium,Monerium,"[""[Website](https://monerium.com/)""]",full,"[""sepa""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY"",""US""]",false,"[""ISO27001""]",TBD
guardarian,Guardarian,"[""[Website](https://guardarian.com/)""]",light,"[""credit_card"",""debit_card"",""sepa"",""swift"",""pix""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU""]",false,"[""PCI_DSS""]",TBD
swipelux,Swipelux,"[""[Website](https://swipelux.com/)""]",light,"[""credit_card"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",false,"[""PCI_DSS""]",TBD
paybis,Paybis,"[""[Website](https://paybis.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""skrill"",""neteller""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY"",""NY""]",false,"[""PCI_DSS""]",TBD
coinify,Coinify,"[""[Website](https://www.coinify.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""bank_transfer""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY""]",false,"[""PCI_DSS""]",TBD
switchere,Switchere,"[""[Website](https://switchere.com/)""]",light,"[""credit_card"",""debit_card"",""sepa""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",false,"[""PCI_DSS""]",TBD
utorg,Utorg,"[""[Website](https://utorg.pro/)""]",full,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",false,"[""PCI_DSS"",""ISO27001""]",TBD
unlimit,Unlimit,"[""[Website](https://www.unlimit.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""pix"",""spei""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU""]",false,"[""PCI_DSS"",""ISO27001""]",TBD
