slug,provider,actionButtons,toolType,tag,price,planType,planName,description,starred
alchemy-transaction-pay-as-you-go,Alchemy Transaction,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/wallets/transactions/overview)""]",Tool,"[""Blockchain transactions"",""Faster Ethereum transactions"",""Reliable transaction API""]",$5/$45/$215/$415/$815/$2K per 11M/100M/500M/1B/2B/5B CUs,Pay-as-you-go,,"It provides developers with APIs and features to manage the entire transaction lifecycle, from creation and simulation to sending and monitoring, across various blockchain networks",FALSE
alchemy-transaction-enterprise,Alchemy Transaction,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs/wallets/transactions/overview)""]",Tool,"[""Blockchain transactions"",""Faster Ethereum transactions"",""Reliable transaction API""]",Custom,Enterprise,,"It provides developers with APIs and features to manage the entire transaction lifecycle, from creation and simulation to sending and monitoring, across various blockchain networks",FALSE
ape-worx-evm-trace,ApeWorx EVM Trace,"[""[Website](https://github.com/ApeWorX/evm-trace)""]",Testing and Debugging,"[""EVM Trace"",""Ethereum Debugging"",""Smart Contract Debugging"",""Transaction Tracing""]",$0,Free,,Python-dependent developer tool designed for debugging and analyzing Ethereum Virtual Machine transactions and smart contract execution,FALSE
arka-free,Arka,"[""[Website](https://etherspot.io/arka-paymaster/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$0,Free,,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-pay-as-you-go,Arka,"[""[Buy](https://etherspot.io/pricing/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$49/$99/$299/mo,Dedicated,Developer/Scale/Startup,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-enterprise,Arka,"[""[Contact](https://etherspot.io/get-quote/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",Custom,Enterprise,,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
bitbond-token-tool-pay-as-you-go,Bitbond Token Tool,"[""[Buy](https://tokentool.bitbond.com/pricing)"",""[Docs](https://docs.bitbond.com/asset-tokenization-suite)""]",Tool,"[""Blockchain"",""Tokenization"",""Smart Contracts"",""No-code / Codeless"",""Token Generator""]",Usage based,One-time payment,,"It is a web-based service for developers and businesses that provides a no-code platform to create, manage and distribute various blockchain tokens and NFTs across multiple EVM-compatible blockchains and other networks",FALSE
bitbond-token-tool-enterprise,Bitbond Token Tool,"[""[Buy](https://tokentool.bitbond.com/pricing)"",""[Docs](https://docs.bitbond.com/asset-tokenization-suite)""]",Tool,"[""Blockchain"",""Tokenization"",""Smart Contracts"",""No-code / Codeless"",""Token Generator""]",Usage based + flat fee,Enterprise,,"It is a web-based service for developers and businesses that provides a no-code platform to create, manage and distribute various blockchain tokens and NFTs across multiple EVM-compatible blockchains and other networks",FALSE
block-bucket,BlockBucket,"[""[Website](https://blockbucket.io/)""]",Tool,"[""Airdrop tool"",""Token management"",""Web3 developer tool""]",0.01 ETH + Gas fee,One-time payment,,It is a developer tool and Web3 decentralized application that helps project creators and developers airdrop ERC-20 project tokens to multiple Ethereum addresses simultaneously,FALSE
blocknative-batch-decoder,Blocknative,"[""[Website](https://blocknative.com/)"",""[Doc](https://docs.blocknative.com/ethernow/batch-decoder-api)""]",Tool,"[""Batch Decoder"",""Mempool Analysis"",""OP Stack"",""Explorer""]",Hybrid pricing model,Free,,"It offers a suite of APIs, SDKs, and tools that help developers and traders monitor, manage, and optimize blockchain transactions by providing visibility into the mempool",FALSE
blocksec-phalcon,Blocksec Phalcon,"[""[Website](https://phalcon.xyz/)""]",Security and compliance,"[""Web3 security"",""Smart contract security"",""Blockchain security""]",$1.2K-$7.1K,Pay-as-you-go,,"It provides a suite of developer tools focused on real-time security monitoring, automated attack blocking, and deep transaction analysis for Web3 projects and decentralized finance protocols",FALSE
blowfish-free,Blowfish,"[""[Website](blowfish.xyz)""]",Security and compliance,"[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",$0,Free,,Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,FALSE
blowfish-enterprise,Blowfish,"[""[Website](blowfish.xyz)""]",Security and compliance,"[""Encryption"",""Password Hashing"",""Data Security"",""Cryptography""]",Custom,Enterprise,,Protects Web3 users by analyzing transactions to identify and block malicious activity in real-time,FALSE
bonadocs,Bonadocs,"[""[Website](https://registry.bonadocs.com/)""]",Tool,"[""Blockchain documentation"",""Smart contract documentation"",""API documentation tool""]",$0,Free,,"It provides a suite of developer tools designed to simplify smart contract integration, documentation, and collaboration for Web3 engineering teams",FALSE
bonadocs-docgen,Bonadocs Docgen,"[""[Docs](https://docs.bonadocs.com/)""]",Tool,"[""Documentation"",""Dev Productivity""]",$0,TBD,,"It helps developers automatically generate beautiful, interactive documentation websites for their Solidity smart contract projects directly from the codebase",FALSE
brand-extender,Brand Extender,"[""[Website](https://brandextender.io/)""]",NFT,"[""NFT/Web3 Tools"",""SDK""]",$0,TBD,,"It enables the creation of fully on-chain derivative NFTs or sets of NFTs, leveraging existing NFT collections with open intellectual property (IP) rights",FALSE
build-bear-free,BuildBear,"[""[Website](https://www.buildbear.io/)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$0,TBD,,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-developer,BuildBear,"[""[Buy](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$49/mo,TBD,,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-team,BuildBear,"[""[Buy](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$199/mo,TBD,,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-enterprise,BuildBear,"[""[Contact](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",up to $499,TBD,,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
cannon,Cannon,"[""[Website](https://usecannon.com/)"",""[Docs](https://usecannon.com/learn/guides/get-started/setup)""]",Tool,"[""Smart Contract Deployment"",""Blockchain DevOps"",""Ethereum Network Development"",""Smart Contract Package Manager""]",$0 ,TBD,,"It helps manage and streamline the deployment, upgrade and configuration of smart contracts and entire protocols across various networks",FALSE
chain-ide,ChainIDE,"[""[Website](https://chainide.com/)""]",IDE,"[""Web3 IDE"",""Blockchain development tools"",""Cloud-based IDE"",""Smart contract development""]",$0,Free,,"It provides a cloud-based, multi-chain Integrated Development Environment that offers a comprehensive, all-in-one platform for developers to build, test, and deploy decentralized applications and smart contracts",FALSE
chainlink-ccip,Chainlink CCIP,"[""[Docs](https://docs.chain.link/ccip)""]",Tool,"[""Blockchain interoperability""]",Custom,Pay-as-you-go,,Blockchain interoperability protocol for transferring tokens and messages across chains,FALSE
chainlist,Chainlist,"[""[Website](https://chainlist.org/)"",""[Docs](https://sites.google.com/view/chainlistsafe/)""]",Tool,"[""Web3 Developer Tools"",""MetaMask Integration"",""Wallet Connection"",""Custom Network Information"",""Multichain""]",$0 ,TBD,,"It provides a comprehensive and verified list of network details for various Ethereum Virtual Machine compatible blockchains, which simplifies a crucial configuration step for Web3 developers and users. ",FALSE
codeslaw,Codeslaw,"[""[Website](https://www.codeslaw.app/)""]",Tool,"[""Smart Contract Search Engine"",""Verified Contract Code"",""Web3 Development""]",$0,Free,,"Developer tool and search engine that allows developers to search for and explore verified smart contract code across various blockchain networks, primarily Ethereum",FALSE
coinflow,Coinflow,"[""[Website](https://coinflow.cash/)""]",Tool,"[""Payment Infrastructure/Solutions"",""Web3/Crypto Integration"",""API integration""]",Custom,Dedicated,,"It provides a suite of tools that enable developers to seamlessly integrate comprehensive payment solutions into their applications: Accept diverse payments, Instant settlement, Risk and compliance management",FALSE
coinsdo,CoinsDo,"[""[Website](https://www.coinsdo.com/en)""]",Tool,"[""Wallet as a Service (WaaS)"",""Digital asset wallet solutions"",""Cryptocurrency wallet API""]",$0,Free,,"Provides a suite of developer tools, primarily a Wallet-as-a-Service solution, that allows developers and businesses to integrate secure, non-custodial digital asset management and transaction capabilities into their own applications",FALSE
create-eth-app,WalletConnect,"[""[Website](https://github.com/WalletConnect/create-eth-app)""]",Tool,"[""Ethereum App Creation"",""dApp Boilerplate"",""Web3 App Development"",""Frontend Development"",""Blockchain Application Starter Kit""]",$0 ,TBD,,"It helps developers quickly bootstrap and create modern, single-page, Ethereum-powered decentralized applications with a single command",FALSE
crossmint-free,Crossmint,"[""[Website](https://crossmint.com/)""]",NFT,"[""NFT"",""Minting"",""Payments"",""Fiat On-Ramp""]",$0,Free,,"Platform enabling fiat on-ramp for NFTs, letting users mint NFTs with credit cards; supports Optimism for seamless onboarding of new users",FALSE
crossmint-enterprise,Crossmint,"[""[Contact](https://www.crossmint.com/contact/sales)""]",NFT,"[""NFT"",""Minting"",""Payments"",""Fiat On-Ramp""]",Custom,Enterprise,,"Platform enabling fiat on-ramp for NFTs, letting users mint NFTs with credit cards; supports Optimism for seamless onboarding of new users",FALSE
curvegrid-free,Curvegrid,"[""[Website](https://www.curvegrid.com/)""]",Tool,"[""Web3 infrastructure"",""API"",""Smart contracts"",""Enterprise blockchain""]",$0,Free,,It provides developer tools and infrastructure-as-a-service to help businesses and developers build and deploy decentralized applications faster and more easily,FALSE
curvegrid-enterprise,Curvegrid,"[""[Website](https://www.curvegrid.com/)""]",Tool,"[""Web3 infrastructure"",""API"",""Smart contracts"",""Enterprise blockchain""]",Custom,Enterprise,,It provides developer tools and infrastructure-as-a-service to help businesses and developers build and deploy decentralized applications faster and more easily,FALSE
cyvers,Cyvers,"[""[Website](https://cyvers.ai/)""]",Security and compliance,"[""Web3 Security"",""Blockchain Security"",""Real-Time Threat Detection"",""Machine Learning Security""]",$0,Free,,"It is a Web3 security company that provides developers with tools and an AI-powered platform for real-time threat detection, prevention, and compliance in blockchain ecosystems",FALSE
dapp-launchpad,Dapp Launchpad,"[""[Website](https://github.com/0xPolygon/dapp-launchpad)""]",Tool,"[""JavaScript"",""Boilerplate""]",$0,Free,,Boilerplate and toolkits for launching Polygon dApps fast,FALSE
dapprovals-pay-as-you-go,dApprovals,"[""[Website](https://dapproval.com/)""]",Tool,"[""Code Review Approvals"",""Deployment Approvals"",""CI/CD Approvals"",""Infrastructure Approvals""]",£12/£18,Tiered,Basic/Standard,Provides services for managing and securing Web3 transaction approvals,FALSE
dapprovals-enterprise,dApprovals,"[""[Website](https://dapproval.com/)""]",Tool,"[""Code Review Approvals"",""Deployment Approvals"",""CI/CD Approvals"",""Infrastructure Approvals""]",Custom,Enterprise,Custom,Provides services for managing and securing Web3 transaction approvals,FALSE
datacurve-pay-as-you-go,DataCurve,"[""[Website](https://datacurve.io/)""]",AI,"[""AI platform"",""Customer data platform"",""Data analytics"",""CRM integration""]",Custom,Tiered,,"Provides high-quality training and evaluation data focused on coding and software engineering for large language models, operating as an AI data engine for major AI organizations",FALSE
datacurve-enterprise,DataCurve,"[""[Website](https://datacurve.io/)""]",AI,"[""AI platform"",""Customer data platform"",""Data analytics"",""CRM integration""]",Custom,Enterprise,,"Provides high-quality training and evaluation data focused on coding and software engineering for large language models, operating as an AI data engine for major AI organizations",FALSE
decent,Decent,"[""[Docs](https://docs.decent.xyz/development/split-fees)""]",Tool,"[""Blockchain development"",""Decentralized applications"",""Crypto payment gateway""]",$0,Free,,"It abstracts the complexities of blockchain interactions, allowing developers to integrate diverse on-chain crypto experiences into their applications more easily",FALSE
decubate-tms,Decubate TMS,"[""[Website](https://tms.finance/)""]",Tool,"[""No-code token platform"",""Token minting"",""Liquidity farming""]",up to $5K,Enterprise,,"It is a no-code, all-in-one platform that provides Web3 builders and projects with the necessary tools to launch, manage, and scale their tokens efficiently and securely",FALSE
echidna,Echidna,"[""[Website](https://github.com/crytic/echidna)""]",Testing and Debugging,"[""Smart contract security"",""Fuzzing tool"",""Property-based testing"",""Ethereum developer tools"",""Solidity testing""]",$0,Free,,"It is an open-source property-based fuzzer for Ethereum smart contracts, developed by the security firm Trail of Bits",FALSE
ercx-free,ERCx,"[""[Website](https://ercx.runtimeverification.com/)""]",Testing and Debugging,"[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]",$0,TBD,,"It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",FALSE
ercx-standard,ERCx,"[""[Buy](https://ercx.runtimeverification.com/pricing)""]",Testing and Debugging,"[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]",$100/mo,TBD,,"It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",FALSE
ercx-enteprise,ERCx,"[""[Buy](https://ercx.runtimeverification.com/pricing)""]",Testing and Debugging,"[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]",$1K/mo,TBD,,"It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",FALSE
eth-calldata-decoder,ETH Calldata Decoder,"[""[Website](https://calldata.swiss-knife.xyz/decoder)""]",Tool,"[""ETH calldata decoder"",""Ethereum calldata decoder"",""Decode transaction calldata"",""Smart contract debugger""]",$0,Free,,"It is a developer tool that translates raw, hexadecimal transaction input data i.e calldata into a human-readable format",FALSE
etherface-free,Etherface,"[""[Website](https://tracxn.com/d/companies/ether.fund/__uywUsO3Npr2yq5pyBve4Y12pW70FH8owmR57Y6NhbLk)""]",Tool,"[""Blockchain development"",""Web3"",""Smart contracts"",""Signature database""]",$0,Free,,"It provides Ethereum signature tools and data, which help developers and users identify and understand smart contract transactions",FALSE
etherface-enterprise,Etherface,"[""[Contact](https://tracxn.com/pricing)""]",Tool,"[""Blockchain development"",""Web3"",""Smart contracts"",""Signature database""]",Custom,Enterprise,,"It provides Ethereum signature tools and data, which help developers and users identify and understand smart contract transactions",FALSE
ethereum-boilerplate,Ethereum-boilerplate,"[""[Website](https://github.com/ethereum-boilerplate)""]",Tool,"[""NextJS"",""React"",""TypeScript"",""Smart Contracts"",""Meta Transactions""]",$0,Free,,"It provides a complete, out-of-the-box template for building full-stack decentralized applications (dApps) on Ethereum and other EVM-compatible blockchains",FALSE
ethereum-etl,Ethereum ETL,"[""[Website](https://github.com/blockchain-etl/ethereum-etl)""]",Tool,"[""Ethereum ETL"",""Blockchain data analytics"",""Web3 data infrastructure"",""ETL (Extract, Transform, Load)"",""On-chain data""]",$0,TBD,,"It provides Python and Rust scripts to extract, transform, and load (ETL) data from the Ethereum blockchain into more convenient formats like CSV files, JSON files, or relational databases (such as PostgreSQL)",FALSE
ethersplay,Crytic,"[""[Website](https://github.com/crytic/ethersplay)""]",Tool,"[""Disassembler"",""Smart Contracts"",""Reverse Engineering""]",$0,TBD,,It operates as a plugin within the Binary Ninja reverse engineering platform,FALSE
eth-tx,EthTx,"[""[Website](https://github.com/EthTx/ethtx)""]",Tool,"[""Ethereum transaction decoder"",""Blockchain transaction analysis""]",$0,Free,,"It is a developer and analyst tool that decodes Ethereum transactions into a human-readable format, providing valuable insights into the underlying smart contract logic and token flows",FALSE
ethui,Ethui,"[""[Website](https://github.com/ethui/ethui)""]",Tool,"[""Desktop-Native Interface""]",$0,TBD,,It is desktop-native Ethereum development toolkit that integrates crypto wallet functionalities with tools aimed at improving the workflow for smart contract and dApp development and testing,FALSE
evm-2,EVM2,"[""[Website](https://github.com/hananbeer/evm2)""]",Testing and Debugging,"[""EVM tools"",""Blockchain developer tools"",""Smart contract development""]",$0,Free,,It provides a crucial sandbox environment for developers to meticulously analyze and verify the behavior of their smart contracts locally and in detail before deploying them to a public blockchain network,FALSE
evmdis,Evmdis,"[""[Website](https://github.com/Arachnid/evmdis)""]",Tool,"[""Ethereum Virtual Machine Disassembler""]",$0,TBD,,It is Ethereum Virtual Machine disassembler that analyzes smart contract bytecode to make it more understandable for developers and security researchers,FALSE
evm-toolkit,EVM Toolkit,"[""[Website](https://quilt.github.io/etk/)""]",Tool,"[""EVM Toolkit"",""Ethereum Virtual Machine"",""Blockchain developer tools"",""Smart contract development""]",$0,Free,,"It provides fundamental utilities, specifically an assembler and a disassembler, for working with raw EVM bytecode",FALSE
failsafe,FailSafe,"[""[Website](https://getfailsafe.com/)""]",Security and compliance,"[""AI Security"",""Penetration Testing"",""Real-Time Threat Detection"",""Security Audits""]",$0,Free,,"It focused on security and compliance for the blockchain, Web3 and AI industries",FALSE
forge,Forge,"[""[Website](https://github.com/foundry-rs/foundry/tree/master/crates/forge)""]",Tool,"[""Command-line tool""]",$0,Free,,"It is a command-line interface tool designed for Ethereum developers to build, test, debug, deploy and verify Solidity smart contracts",FALSE
ganache,Ganache,"[""[Docs](https://archive.trufflesuite.com/docs/ganache/)""]",Tool,"[""Local blockchain"",""Testing""]",$0,Free,,Personal Ethereum blockchain for local development enabling fast testing of contracts in a controlled environment,FALSE
gas-station-network,Gas Station Network,"[""[Docs](https://docs.polygon.technology/tools/gas/polygon-gas-station/)""]",Tool,"[""Web"",""API""]",$0,Free,,Gas price oracle API and dashboard for Polygon estimating current gas prices for dApps UX,FALSE
hela,HeLa,"[""[Website](https://helalabs.com/)""]",AI,"[""Static Application Security Testing"",""Secret Scanning"",""CI/CD Pipeline Security""]",$0.02/Gas fee,Pay-as-you-go,,"It provides a modular, EVM-compatible Layer-1 blockchain platform for building dApps, supporting applications involving personalized AI and real-world use cases",FALSE
hokusai,Hokusai,"[""[Website](https://github.com/artsy/hokusai)""]",Tool,"[""Docker""]",$0,TBD,,"It is designed to simplify the application development, testing and deployment lifecycle for developers",FALSE
intellij-solidity-plugin,Intellij Solidity Plugin,"[""[Website](https://github.com/intellij-solidity/intellij-solidity)""]",Tool,"[""IntelliJ"",""JetBrains"",""IDE Plugin""]",$0,Free,,"It provides a comprehensive suite of developer tools that deeply integrate the writing, testing, debugging, and deployment of Solidity smart contracts directly within the JetBrains integrated development environment",FALSE
ipfs,IPFS,"[""[Docs](https://docs.ipfs.io/)""]",Tool,"[""Go"",""JavaScript"",""Storage""]",$0,Free,,Distributed file storage protocol commonly used by Polygon dApps,FALSE
jeb-decompiler,PNF Software,"[""[Website](https://www.pnfsoftware.com/jeb/manual/ethereum/)""]",Testing and Debugging,"[""Reverse Engineering"",""Decompiler"",""Disassembler"",""Debugger"",""Code Analysis""]",$0,Free,,"It is a powerful interactive reverse-engineering platform used for the disassembly, decompilation, debugging, and analysis of complex code and document files",FALSE
kevm,KEVM,"[""[Website](https://github.com/runtimeverification/evm-semantics)""]",Tool,"[""Formal Verification"",""Formal Methods"",""K Framework""]",$0,Free,,"It allows developers to write custom tests and work with the underlying semantics of a blockchain environment, such as Cardano's EVM layer, before it is fully launched",FALSE
krebit,Krebit,"[""[Website](https://hackers.tools/d/krebit)""]",Tool,"[""Decentralized identity"",""Verifiable credentials"",""Web3 reputation systems""]",$0,Free,,It is a reputation scoring platform for digital assets and decentralized finance that allows developers to integrate creditworthiness credentials into their applications,FALSE
laika-ai,Laika AI,"[""[Website](https://laikalabs.ai/)""]",AI,"[""AI"",""On-chain Data"",""Analytics""]",Custom,TBD,,"It offers an enterprise API and a SDK for custom agent development, allowing other developers to integrate its analytics and smart contract auditing features into their own applications",FALSE
maian,Maian,"[""[Website](https://github.com/ivicanikolicsg/MAIAN)""]",Tool,"[""Smart Contract Vulnerability Detection"",""Ethereum Smart Contracts"",""Blockchain Security Tools"",""Vulnerability Detection""]",$0,TBD,,It used for static and dynamic analysis to detect security vulnerabilities in Ethereum smart contracts,FALSE
mosaia-free,Mosaia,"[""[Website](https://www.mosaia.io/)""]",AI,"[""Building and deploying AI agents and teams""]",$0,Free,,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
mosaia-pay-as-you-go,Mosaia,"[""[Buy](https://www.mosaia.io/pricing)""]",AI,"[""Building and deploying AI agents and teams""]",$19/$349/mo,Tiered,Explorer/Pro,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
mosaia-enterprise,Mosaia,"[""[Contact](https://calendly.com/cyril-mosaia)""]",AI,"[""Building and deploying AI agents and teams""]",Custom,Enterprise,,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
multicall3,Multicall3,"[""[Website](https://www.multicall3.com)""]",Tool,"[""Contract Calls"",""Aggregation"",""RPC""]",$0,TBD,,It enables the batching of multiple calls to other smart contracts into a single transaction,FALSE
multisender,Multisender,"[""[Website](https://multisender.app/)""]",Tool,"[""Multisender"",""Multisend"",""Bulk sender"",""Send multiple tokens"",""Batch transactions"",""Token distribution""]",Custom,TBD,,It provides a specific function that development teams and project managers use to manage and distribute digital assets efficiently. It operates via the user's own smart wallet but not a wallet provider itself,FALSE
onmeta,Onmeta,"[""[Website](https://onmeta.in/)""]",Tool,"[""Web3 infrastructure"",""On/Off-ramp solutions"",""Payment APIs"",""SDK integration""]",Custom,Pay-as-you-go,,"It provides developers with fiat-to-crypto i.e on-ramp and crypto-to-fiat i.e off-ramp infrastructure for integrating cryptocurrency buy and sell functionality into Web3 applications, platforms, or wallets",FALSE
openfort-free,Openfort,"[""[Website](https://openfort.xyz/)""]",Tool,"[""Wallet Infrastructure"",""Open-source"",""Onboarding"",""Cross-app Wallet""]",$0,Free,Starter,"Open-source wallet infrastructure for rapid integration of wallet functions, intuitive onboarding, and flexible user journeys for any application or ecosystem",FALSE
