slug,provider,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,license,price,trial,starred,dependencies
blockdaemon-sdk-growth,Blockdaemon Staking SDK,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Contact](https://www.blockdaemon.com/api/pricing)""]",SDK,TypeScript,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]","It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",Tiered,Growth,TBD,Custom,FALSE,FALSE,
blockdaemon-sdk-starter,Blockdaemon Staking SDK,"[""[GitLab](https://gitlab.com/Blockdaemon/open-source/staking-sdk/-/tree/dev/libs/ts/staking-sdk-eth)"",""[Contact](https://www.blockdaemon.com/api/pricing)""]",SDK,TypeScript,"[""Web3 Gateway"",""Institutional Grade Blockchain"",""Scalable Blockchain Solutions"",""Multi-Protocol Support""]","It provides an extensive toolkit, including REST and RPC APIs and SDKs, for developers to build Web3 applications and integrate with various blockchain networks",Tiered,Starter,TBD,Custom,FALSE,FALSE,
brownie,Brownie,"[""[Website](https://github.com/eth-brownie/brownie)""]",Framework,Python,"[""Smart contract development""]","It provides developers with a robust set of tools to write, test, debug, and deploy smart contracts using the Python programming language instead of JavaScript/TypeScript, which is more common in Web3 development",Free,,TBD,$0,FALSE,FALSE,
capstone-disassembler,Capstone Disassembler,"[""[Website](https://github.com/crytic/pyevmasm)""]",Library,TBD,"[""EVM assembler library"",""EVM disassembler"",""Assemble EVM instructions"",""EVM bytecode generation""]",It provides the granular control and visibility needed to work directly with the low-level machine code that powers smart contracts on Ethereum and other EVM-compatible blockchains,Free,,TBD,$0,FALSE,FALSE,
chainbase-sdk-developer,Chainbase,"[""[Buy](https://platform.chainbase.com/pricing)""]",SDK,JavaScript,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]","It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",Tiered,Developer,TBD,$99/mo,FALSE,TRUE,
chainbase-sdk-enterprise,Chainbase,"[""[Contact](https://platform.chainbase.com/contact)""]",SDK,JavaScript,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]","It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",Enterprise,,TBD,Custom,FALSE,TRUE,
chainbase-sdk-free,Chainbase,"[""[Docs](https://docs.chainbase.com/introduction/networks/developers)""]",SDK,JavaScript,"[""Multi-Chain Data Platform"",""Blockchain Developer Tools"",""Blockchain Data API"",""On-Chain Data Analytics""]","It provides a full suite of tools and SDKs to help developers build Web3 applications more efficiently, including a console for creating, debugging and managing projects",Free,,TBD,$0 ,FALSE,TRUE,
connectkit,ConnectKit,"[""[Website](https://family.co/docs/connectkit)""]",Library,TypeScript,"[""Wallet Connect"",""Web3 wallet"",""React Component Library""]",React component library for Web3 frontend developers that simplifies the process of connecting a user's cryptocurrency wallet to a decentralized application,Free,,TBD,$0,FALSE,FALSE,
dappkit,Dappkit,"[""[Website](https://dappkit.dev/)""]",SDK,TBD,"[""dApp development"",""Web3 SDK"",""Blockchain development"",""Smart contract interaction""]","It is a free, open-source Software Development Kit and platform that streamlines the creation and integration of web3 applications by providing pre-built tools, components, and code libraries",Free,,TBD,$0,FALSE,FALSE,
db3-js,db3.js,"[""[Docs](https://docs.db3.network/)""]",SDK,JavaScript,"[""Decentralized Database"",""Blockchain"",""InterPlanetary File System"",""Arweave""]",It provides a collection of JavaScript and TypeScript libraries for developers to connect and interact with Ethereum and other EVM-compatible blockchain nodes,Free,,TBD,$0 ,FALSE,FALSE,
embark,Embark,"[""[Website](https://github.com/embarklabs/embark)""]",Framework,Rust,"[""Game Development"",""Game Engine"",""Open Source Tools"",""Rendering""]","It provides tools for developing smart contracts, integrating with blockchain platforms like Ethereum and connecting to decentralized storage and communication platforms",Free,,TBD,$0 ,FALSE,FALSE,
ens-js,ENSjs,"[""[Website](https://github.com/ensdomains/ensjs?tab=readme-ov-file)""]",Library,JavaScript,"[""Ethereum Name Service"",""ENS Domains"",""Web3 Development""]",It allows developers to interact with the Ethereum Name Service smart contracts and infrastructure,Free,,TBD,$0 ,FALSE,FALSE,
eth-tx,EthTx,"[""[Website](https://github.com/EthTx/ethtx)""]",Library,Python,"[""Ethereum transaction decoder"",""Blockchain transaction analysis""]","It is a developer and analyst tool that decodes Ethereum transactions into a human-readable format, providing valuable insights into the underlying smart contract logic and token flows",Free,,TBD,$0,FALSE,FALSE,
ethers-js,Ethers.js,"[""[Website](https://docs.ethers.org/v6/)""]",Library,JavaScript,"[""Library"",""dApp development""]",It is a comprehensive JavaScript and TypeScript toolkit that provides developers with a robust and simple way to interact with the Ethereum blockchain and its broader ecosystem,Free,,TBD,$0,FALSE,FALSE,
etherspot,Etherspot Prime SDK,"[""[Website](https://etherspot.io)"", ""[Docs](https://etherspot.fyi/prime-sdk/intro)""]",SDK,TBD,"[""Account Abstraction"",""Wallet SDK""]",Account Abstraction SDK providing Web2-like smart wallet experiences i.e social logins batched transactions to Ethereum dApps,Free,,TBD,$0,FALSE,FALSE,
evmole,Evmole,"[""[Website](https://github.com/cdump/evmole)""]",Library,TBD,"[""EVM Bytecode Analysis"",""Smart Contract Analysis"",""ABI Extraction"",""Function Selector Decoding""]","It provides a library for extracting function selectors, arguments, and other key information from Ethereum Virtual Machine (EVM) bytecode, even for unverified smart contracts",Enterprise,,TBD,Custom,FALSE,FALSE,
foundry,Foundry,"[""[Docs](https://book.getfoundry.sh/)""]",Framework,Rust,"[""Framework""]",Solidity-native smart contract development toolkit written in Rust offering blazing-fast compilation and testing,Free,,TBD,$0,FALSE,FALSE,
fuzzlib,Fuzzlib,"[""[Website](https://github.com/perimetersec/fuzzlib)""]",Library,Solidity,"[""Fuzz Testing"",""Software Testing"",""Security Testing"",""Vulnerability Research""]",It helps Web3 developers enhance the security and stability of their smart contracts by streamlining the fuzzing process,Free,,TBD,$0,FALSE,FALSE,
ginco-sdk-enterprise,Ginco SDK,"[""[Website](https://www.ginco.com/wallet-builder)""]",SDK,TBD,"[""Web3 SDK"",""Blockchain Development Kit"",""Crypto Wallet SDK"",""Non-Custodial Wallet SDK""]","It is specifically designed to help businesses integrate blockchain functionalities, such as digital asset wallets and transaction monitoring, into their own services",Enterprise,,TBD,Custom,FALSE,FALSE,
halliday,Halliday,"[""[Docs](https://docs.halliday.xyz/)""]",Onramp,TBD,"[""SDK""]","Fiat-to-crypto onramp via credit cards, Apple Pay and Google Pay for GHO/GRASS",Free,,TBD,$0,FALSE,FALSE,
hardhat,Hardhat,"[""[Docs](https://hardhat.org/docs)""]",Framework,JavaScript,"[""Framework""]",Versatile Ethereum development framework simplifying smart contract building testing and deployment,Free,,TBD,$0,FALSE,FALSE,
huff,Huff,"[""[Website](https://huff.sh/)""]",Programming Language,Huff,"[""EVM programming language"",""Ethereum smart contracts"",""Low-level smart contract language""]",It is a low-level programming language and associated ecosystem of developer tools used for writing extremely optimized smart contracts on the Ethereum Virtual Machine,Free,,TBD,$0,FALSE,FALSE,
huffmate,Huffmate,"[""[Website](https://github.com/huff-language/huffmate)""]",Library,Huff,"[""Huff-language"",""Smart-contracts"",""Solidity-tools""]","It provides a library of hyper-optimized Huff smart contracts intended as resources for learning and implementation, rather than a compiler or debugger",Free,,TBD,$0,FALSE,FALSE,
lens-sdk,Lens,"[""[Website](https://github.com/lens-protocol/lens-sdk)""]",SDK,TBD,"[""Decentralized Social Graph"",""Social Network"",""dApp Development"",""Developer Tools"",""Social Features""]","It offers developers the infrastructure and tools required to build decentralized social media applications on the Lens Protocol, a decentralized social graph on the Polygon blockchain",Free,,TBD,$0,FALSE,FALSE,
loop-decoder,Loop Decoder,"[""[Website](https://github.com/3loop/loop-decoder)""]",Library,TBD,"[""Code Debugger"",""Developer Tool"",""Code Analysis Tool""]",It offers an all-in-one toolkit designed to simplify Ethereum Virtual Machine (EVM) transaction decoding for web3 developers,Enterprise,,TBD,Custom,FALSE,FALSE,
magic,Magic,"[""[Website](https://magic.link/)""]",SDK,TBD,"[""Email login"",""Social logins"",""Wallet SDK""]",Web3 onboarding SDK for creating non-custodial wallets using familiar Web2 logins eliminating seed phrases,Free,,TBD,$0,FALSE,FALSE,
matic-js,Matic.js,"[""[Website](https://github.com/0xPolygon/matic.js)""]",SDK,JavaScript,"[""SDK""]",Official JavaScript SDK for cross-chain bridging and asset management on Polygon,Free,,TBD,$0,FALSE,FALSE,
ocean-protocol-sdk,Ocean Protocol,"[""[Docs](https://docs.oceanprotocol.com/developers)""]",SDK,TBD,"[""Decentralized Data"",""Data Monetization"",""Data Exchange"",""Data Sharing"",""Blockchain Protocol"",""Data Marketplace""]","It provides developers with a decentralized platform and a comprehensive toolkit for building data-driven applications and marketplaces, focusing on secure, privacy-preserving data sharing and monetization",Free,,TBD,$0,FALSE,FALSE,
onchain-kit,Coinbase,"[""[Website](https://www.coinbase.com/blog/a-simple-guide-to-the-web3-developer-stack)""]",SDK,TBD,"[""Onchain Commerce"",""NFT minting"",""Funding flow"",""Social profile"" ]",Go-to SDK for building onchain applications with pre-built templates,Free,,TBD,$0,FALSE,FALSE,
onchain-test-kit,Coinbase,"[""[Website](https://www.coinbase.com/developer-platform/solutions/account-abstraction-kit)""]",Framework,TBD,"[""Testing"",""Framework""]",End-to-end testing framework for blockchain apps,Free,,TBD,$0,FALSE,FALSE,
one-key-sdk,OneKey SDK,"[""[Website](https://developer.onekey.so/)""]",dApp integration tools for developers,TBD,"[""Hardware Wallet Integration"",""Multi-Chain dApp Connectivity""]",It provides a platform for developers to integrate secure blockchain wallet functionalities into both web and native applications,Free,,TBD,$0,FALSE,FALSE,
open-zeppelin-test-helpers,OpenZeppelin,"[""[Docs](https://docs.openzeppelin.com/)""]",Library,Solidity,"[""Solidity Test"",""Smart Contract Testing"",""Assertion library""]","It integrates with development environments like Hardhat and Web3.js to offer powerful, configurable checks for secure contract launches, acting as a key part of OpenZeppelin's broader mission to enhance blockchain security",Free,,TBD,$0,FALSE,FALSE,
openzeppelin,OpenZeppelin,"[""[Docs](https://docs.openzeppelin.com/contracts)""]",Library,Solidity,"[""Security"",""Contracts Library""]","Library of secure community-vetted smart contracts i.e ERC20, ERC721 etc. for Ethereum development",Free,,TBD,$0,FALSE,FALSE,
phantom-sdk,Phantom SDK,"[""[Docs](https://docs.phantom.com/introduction)""]",Software Development Kit,TBD,"[""Web3 Development"",""Multichain Wallet Integration""]",It provides developers with tools to integrate the Phantom cryptocurrency wallet into their web and mobile applications,Free,,TBD,$0,FALSE,FALSE,
prb-test,PRB Test,"[""[Website](https://github.com/PaulRBerg/prb-test)""]",Library,Solidity,"[""Solidity Testing Library""]","It is a modern collection of testing assertions and logging utilities for Solidity, and is meant to be a drop-in replacement for DSTest",Free,,TBD,$0,FALSE,FALSE,
quicknode-sdk-accelerate,Quicknode SDK,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",SDK,TBD,"[""QuickNode SDK"",""Web3 development"",""Blockchain API"",""Node provider""]",It is an open-source software development kit designed to help developers build decentralized applications (dApps) by abstracting complex blockchain interactions and providing an interface to QuickNode's infrastructure,Tiered,Accelerate,TBD,$249/mo,FALSE,FALSE,
quicknode-sdk-build,Quicknode SDK,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",SDK,TBD,"[""QuickNode SDK"",""Web3 development"",""Blockchain API"",""Node provider""]",It is an open-source software development kit designed to help developers build decentralized applications (dApps) by abstracting complex blockchain interactions and providing an interface to QuickNode's infrastructure,Tiered,Build,TBD,$49/mo,FALSE,FALSE,
quicknode-sdk-business,Quicknode SDK,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",SDK,TBD,"[""QuickNode SDK"",""Web3 development"",""Blockchain API"",""Node provider""]",It is an open-source software development kit designed to help developers build decentralized applications (dApps) by abstracting complex blockchain interactions and providing an interface to QuickNode's infrastructure,Tiered,Business,TBD,$999/mo,FALSE,FALSE,
quicknode-sdk-enterprise,Quicknode SDK,"[""[Contact](https://www.quicknode.com/contact-us)"",""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",SDK,TBD,"[""QuickNode SDK"",""Web3 development"",""Blockchain API"",""Node provider""]",It is an open-source software development kit designed to help developers build decentralized applications (dApps) by abstracting complex blockchain interactions and providing an interface to QuickNode's infrastructure,Enterprise,,TBD,Custom,FALSE,FALSE,
quicknode-sdk-scale,Quicknode SDK,"[""[Buy](https://www.quicknode.com/pricing)"",""[Docs](https://www.quicknode.com/docs/quicknode-sdk)""]",SDK,TBD,"[""QuickNode SDK"",""Web3 development"",""Blockchain API"",""Node provider""]",It is an open-source software development kit designed to help developers build decentralized applications (dApps) by abstracting complex blockchain interactions and providing an interface to QuickNode's infrastructure,Tiered,Scale,TBD,$499/mo,FALSE,FALSE,
quiver,Raid Guild,"[""[Website](https://github.com/raid-guild/quiver)""]",Library,TBD,"[""Ethereum"",""dApps"",""Web3"",""React"",""Smart-Contracts""]","It offers features like accelerated Web3 onboarding with pre-built components for common interactions, essential integrations with Web3Modal, ENS, and Gnosis Safe Apps, and smart contract interaction",Free,,TBD,$0,FALSE,FALSE,
rainbowkit,RainbowKit,"[""[Docs](https://rainbowkit.com/docs/introduction/)""]",Library,TBD,"[""React"",""Wallet SDK""]",Open-source toolkit providing customizable React components for wallet connection UIs enabling seamless Ethereum wallet integrations,Enterprise,,TBD,Custom,FALSE,FALSE,
reth,Reth,"[""[Website](https://reth.rs/sdk/)""]",SDK,Rust,"[""Rust Ethereum Client"",""Rust Blockchain Development"",""EVM compatible chains""]",It is an Ethereum execution client and developer toolkit (SDK) that allows developers to run high-performance Ethereum nodes and build custom blockchain infrastructure using its modular components as libraries,Enterprise,,TBD,$0,FALSE,FALSE,
rubic-sdk,Rubic-SDK,"[""[Docs](https://docs.rubic.finance/integrate-sdk/sdk-overview)""]",SDK,TBD,"[""Web3 developer tools"",""Cross-chain swap API"",""Blockchain interoperability"",""DEX aggregator SDK"",""Crypto swap widget""]","It offers a SDK, a customizable widget and an API to allow other decentralized applications, wallets or websites to integrate its cross-chain swap functionality directly into their own platforms",Enterprise,,TBD,Custom,FALSE,FALSE,
sequence-sdk-enterprise,Sequence SDK,"[""[Docs](https://docs.sequence.xyz/sdk/overview)"",""[Website](https://support.sequence.xyz/en/article/what-is-the-difference-between-free-and-paid-tiers-1oelkv/)""]",Software Development Kit,TBD,"[""Web3 Development"",""Blockchain Gaming"",""Account Abstraction"",""Game Development SDK""]","It enables the integration of blockchain and web3 functionalities into applications and games, primarily by abstracting the technical complexities of cryptocurrency for the end user",Enterprise,,TBD,Custom,FALSE,FALSE,
sequence-sdk-free,Sequence SDK,"[""[Docs](https://docs.sequence.xyz/sdk/overview)"",""[Website](https://support.sequence.xyz/en/article/what-is-the-difference-between-free-and-paid-tiers-1oelkv/)""]",Software Development Kit,TBD,"[""Web3 Development"",""Blockchain Gaming"",""Account Abstraction"",""Game Development SDK""]","It enables the integration of blockchain and web3 functionalities into applications and games, primarily by abstracting the technical complexities of cryptocurrency for the end user",Free,,TBD,$0,FALSE,FALSE,
swap-kit,SwapKit,"[""[Website](https://swapkit.dev/)""]",SDK,TBD,"[""SwapKit"",""Cross-Chain Swap"",""Multi-Chain Swap"",""DeFi SDK"",""Crypto API""]",It offers an API and SDK for developers to integrate cross-chain swap capabilities into their own applications,Pay-as-you-go,,TBD,Custom,FALSE,FALSE,
swap-kit-enterprise,SwapKit,"[""[Website](https://swapkit.dev/)""]",SDK,TBD,"[""SwapKit"",""Cross-Chain Swap"",""Multi-Chain Swap"",""DeFi SDK"",""Crypto API""]",It offers an API and SDK for developers to integrate cross-chain swap capabilities into their own applications,Enterprise,,TBD,Custom,FALSE,FALSE,
tatum-sdk-business,Tatum,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",SDK,JavaScript,"[""Web3 development"",""Blockchain infrastructure"",""SDKs"",""Multi-chain support""]","Blockchain development platform offering a unified framework, SDKs and API to simplify building Web3 applications without extensive prior blockchain experience",Enterprise,Business,TBD,Custom,FALSE,FALSE,
tatum-sdk-free,Tatum,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",SDK,JavaScript,"[""Web3 development"",""Blockchain infrastructure"",""SDKs"",""Multi-chain support""]","Blockchain development platform offering a unified framework, SDKs and API to simplify building Web3 applications without extensive prior blockchain experience",Free,,TBD,$0,FALSE,FALSE,
tatum-sdk-pro,Tatum,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",SDK,JavaScript,"[""Web3 development"",""Blockchain infrastructure"",""SDKs"",""Multi-chain support""]","Blockchain development platform offering a unified framework, SDKs and API to simplify building Web3 applications without extensive prior blockchain experience",Tiered,Pro,TBD,$99/$139/$179/mo per 10M/15M/20M credits/mo,FALSE,FALSE,
tatum-sdk-scale,Tatum,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",SDK,JavaScript,"[""Web3 development"",""Blockchain infrastructure"",""SDKs"",""Multi-chain support""]","Blockchain development platform offering a unified framework, SDKs and API to simplify building Web3 applications without extensive prior blockchain experience",Tiered,Scale,TBD,$349/$649/mo per 40M/80M credits/mo,FALSE,FALSE,
tatum-sdk-starter,Tatum,"[""[Docs](https://docs.tatum.io/docs/javascript-sdk)""]",SDK,JavaScript,"[""Web3 development"",""Blockchain infrastructure"",""SDKs"",""Multi-chain support""]","Blockchain development platform offering a unified framework, SDKs and API to simplify building Web3 applications without extensive prior blockchain experience",Tiered,Starter,TBD,$49/$79/mo per 4M/7M credits/mo,FALSE,FALSE,
turnkey-sdk-enterprise,Turnkey,"[""[Contact](https://www.turnkey.com/contact-us)"",""[Docs](https://docs.turnkey.com/sdks/introduction)""]",SDK,TypeScript,"[""TypeScript"",""Wallet SDK""]",Single API for creating embedded wallets signing transactions and automating onchain actions,Enterprise,,TBD,Custom,FALSE,FALSE,
turnkey-sdk-free,Turnkey,"[""[Website](https://turnkey.com/)"",""[Docs](https://docs.turnkey.com/sdks/introduction)""]",SDK,TypeScript,"[""TypeScript"",""Wallet SDK""]",Single API for creating embedded wallets signing transactions and automating onchain actions,Free,,TBD,$0,FALSE,FALSE,
turnkey-sdk-pro,Turnkey,"[""[Buy](https://www.turnkey.com/pricing)"",""[Docs](https://docs.turnkey.com/sdks/introduction)""]",SDK,TypeScript,"[""TypeScript"",""Wallet SDK""]",Single API for creating embedded wallets signing transactions and automating onchain actions,Tiered,Pro,TBD,$99/mo,FALSE,FALSE,
uniswap-web3-react,Uniswap Web3 React,"[""[Website](https://github.com/Uniswap/web3-react)""]",Library,TypeScript,"[""React integration"",""Decentralized finance"",""Specific Uniswap functionalities""]",It helps developers build the frontend of decentralized applications by simplifying the process of connecting to various Web3 wallets and interacting with the Ethereum blockchain,Free,,TBD,$0,FALSE,FALSE,
vyper,Vyper,"[""[Docs](https://docs.vyperlang.org/en/latest/)""]",Programming language,Python,"[""Compiler"",""Pythonic programming language"",""SDK"",""Command-line interface tools"",""Interactive environment""]","It is a contract-oriented, Pythonic programming language and associated tools for building secure and auditable smart contracts targeting the Ethereum Virtual Machine",Free,,TBD,$0,FALSE,FALSE,
waffle,Waffle,"[""[Website](https://github.com/Waffle/waffle)""]",Framework,Java,"[""Smart contracts testing""]","It offers features such as advanced contract testing with Chai matchers, fixtures for fast test suites, contract mocking, customizable compilation,TypeScript support and NPM integration",Free,,TBD,$0,FALSE,FALSE,
wagmi,Wagmi,"[""[Website](https://wagmi.sh/)""]",Library,TypeScript,"[""TypeScript"",""React hooks"",""Wallet SDK""]",React Hooks library simplifying Ethereum wallet connections and contract interactions in front-end apps,Free,,TBD,$0,FALSE,FALSE,
wake,Wake,"[""[Website](https://getwake.io/)""]",Framework,Solidity,"[""Testing framework based on pytest"",""Vulnerability & code quality detectors"",""Static analysis framework""]","It provides a suite of developer tools focused on the development, testing and security analysis of Solidity smart contracts, serving primarily as a development and testing framework using Python",Free,,TBD,$0,FALSE,FALSE,
walletconnect,WalletConnect,"[""[Docs](https://docs.walletconnect.com/)""]",SDK,TypeScript,"[""Wallet Integration"",""Protocol""]","Open-source protocol that securely connects mobile wallets to decentralized applications for transaction signing and secure interaction in blockchain apps""",Enterprise,,TBD,Custom,FALSE,FALSE,
walletkit-enterprise,WalletKit,"[""[Contact](https://walletkit.com/pricing/)""]",SDK,TypeScript,"[""JavaScript"",""Wallet""]",It provides the underlying infrastructure and features that allow wallets to securely connect and interact with thousands of decentralized applications across various blockchains via the WalletConnect network,Enterprise,,TBD,Custom,FALSE,FALSE,
walletkit-individual,WalletKit,"[""[Buy](https://walletkit.com/pricing/)""]",SDK,TypeScript,"[""JavaScript"",""Wallet""]",It provides the underlying infrastructure and features that allow wallets to securely connect and interact with thousands of decentralized applications across various blockchains via the WalletConnect network,Tiered,Individual,TBD,$75/mo,FALSE,FALSE,
walletkit-startup,WalletKit,"[""[Buy](https://walletkit.com/pricing/)""]",SDK,TypeScript,"[""JavaScript"",""Wallet""]",It provides the underlying infrastructure and features that allow wallets to securely connect and interact with thousands of decentralized applications across various blockchains via the WalletConnect network,Tiered,Startup,TBD,$250/mo,FALSE,FALSE,
web3-js,Web3.js,"[""[Docs](https://web3js.readthedocs.io/)""]",Library,JavaScript,"[""JavaScript"",""Library""]",JavaScript/TypeScript library that provides an API to interact with Ethereum nodes i.e send transactions query blockchain,Free,,TBD,$0,FALSE,FALSE,
web3-py,Web3.py,"[""[Docs](https://web3py.readthedocs.io/)""]",Library,Python,"[""Web3.py""]","It allows Python developers to build decentralized applications without needing to work directly with the underlying, complex JSON-RPC protocols",Free,,TBD,$0,FALSE,FALSE,
web3auth-base,Web3Auth,"[""[Website](https://web3auth.io/index.html)"",""[Docs](https://web3auth.io/docs/)""]",SDK,JavaScript,"[""Social logins"",""Wallet SDK""]",OAuth-based social login SDK enabling non-custodial key management and quick user onboarding for Web3 applications,Free,Base,TBD,$0,FALSE,FALSE,
web3auth-enterprise,Web3Auth,"[""[Contact](https://calendly.com/elishamm/sales?month=2026-01)"",""[Docs](https://web3auth.io/docs/)""]",SDK,JavaScript,"[""Social logins"",""Wallet SDK""]",OAuth-based social login SDK enabling non-custodial key management and quick user onboarding for Web3 applications,Enterprise,,TBD,Custom,FALSE,FALSE,
web3auth-growth,Web3Auth,"[""[Buy](https://web3auth.io/pricing.html)"",""[Docs](https://web3auth.io/docs/)""]",SDK,JavaScript,"[""Social logins"",""Wallet SDK""]",OAuth-based social login SDK enabling non-custodial key management and quick user onboarding for Web3 applications,Tiered,Growth,TBD,$69/mo,FALSE,FALSE,
web3auth-scale,Web3Auth,"[""[Buy](https://web3auth.io/pricing.html)"",""[Docs](https://web3auth.io/docs/)""]",SDK,JavaScript,"[""Social logins"",""Wallet SDK""]",OAuth-based social login SDK enabling non-custodial key management and quick user onboarding for Web3 applications,Tiered,Scale,TBD,$399/mo,FALSE,FALSE,
