slug,provider,technology,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,actionButtons,supportedChains,txSpeedSla,throughputSla
connext,Connext,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Transfers"",""Liquidity Provision""]",[],"[""Low fee intent-layer bridging"",""xERC‑20 tokens""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Security inherits from canonical settlement networks,[],Decentralized,"[""TypeScript SDK"",""Web UI""]",[],[],NULL,NULL
crosscurve,CrossCurve,NFT & Token Bridge,TRUE,"[""Discord""]",FALSE,"[""NFT Transfer"",""Asset Transfer""]",[],"[""NFT badge bridge"",""EYWA integration""]","[""ERC‑20"",""ERC‑721""]",Gas Fee,TRUE,Modular design with relayer fallback,[],Modular,"[""Web UI""]",[],[],NULL,NULL
debridge,deBridge,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Rate Guarantee""]",[],"[""Deep liquidity"",""Guaranteed rates""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Economic security via settlement networks,[],Decentralized,"[""Web UI"",""SDK""]",[],"[""Ethereum"",""BNB Chain"",""Polygon"",""Arbitrum"",""Avalanche"",""Solana"",""Linea"",""Optimism"",""Base"",""Hyperliquid"",""HyperEVM"",""Gnosis"",""Sonic"",""Cronos zkEVM"",""Abstract"",""Berachain"",""Story"",""Neon"",""Flow"",""BOB"",""Mantle"",""Sophon"",""Sei""]",NULL,NULL
ecoportal,Eco Portal,Stablecoin Router,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Transfer"",""Bridge Routing""]",[],"[""Route optimization"",""Low fees""]","[""USDC"",""USDT""]",Gas Fee + minimal service fee,TRUE,Security via route providers,[],Aggregator,"[""Web UI"",""SDK""]",[],[],NULL,NULL
enosys-bridge,Enosys Bridge,Wrap & Asset Bridge,TRUE,"[""Discord""]",FALSE,"[""ERC‑20 Transfer""]",,"[""Wrap/unwrap across XDC and Flare eco­systems"",""High‑yield bridge integration""]","[""ERC‑20""]",Gas Fee + wrap fee,TRUE,"Fireblocks optional custody, regulated compliance","[""Independent audits""]",Semi-Decentralized,"[""TypeScript""]",[],,NULL,NULL
garden,Garden,BTC‑to‑ETH Swap Bridge,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap""]",[],"[""BTC → ETH swap in ~10 min""]","[""BTC"",""ETH""]",Swap fee,TRUE,Relayer‑based swap execution,[],Decentralized,"[""Web UI""]",[],[],NULL,NULL
hashport,Hashport,Cross‑chain Asset Transfer,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",[],"[""Secure Hedera-to-EVM bridging""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Multi-signature validators + Hedera consensus,[],Semi-decentralized,"[""Web UI""]",[],[],NULL,NULL
hop,Hop,Layer-2 Token Bridge,TRUE,"[""Discord""]",FALSE,"[""Token Transfer""]",,"[""h-token intermediaries"",""AMM bonds""]","[""ERC-20""]",Gas Fee + liquidity fee,TRUE,Liquidity provider bonds via AMM model,"[""Multiple audits""]",Decentralized,"[""TypeScript""]",[],,NULL,NULL
hyperlane,Hyperlane,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Messaging"",""Asset Transfer""]",[],"[""Modular Interchain Security"",""Warp Routes (Bridging)""]","[""ERC‑20""]",Gas Fee,TRUE,Economic security via modular ISMs and validator staking,[],Decentralized,"[""TypeScript CLI""]","[""[Bridge](https://hyperlane.xyz/)"", ""[Docs](https://docs.hyperlane.xyz/)""]","[""Abstract"",""Ancient8"",""ApeChain"",""AppChain"",""Arbitrum"",""Artela"",""Avalanche"",""Base"",""Berachain"",""Bitlayer"",""Blast"",""BOB"",""Boba Mainnet"",""Binance Smart Chain"",""B² Network"",""Celestia"",""Celo"",""Coti"",""Eclipse"",""Endurance"",""Ethereum"",""EVM on Flow"",""Fluence"",""Form"",""Fraxtal"",""Hashkey"",""HyperEVM"",""Immutable zkEVM"",""Injective EVM"",""Injective"",""Ink"",""KYVE"",""Linea"",""Lisk"",""Lumia Prism"",""Manta Pacific"",""Mantle"",""Matchain"",""Metal L2"",""Metis Andromeda"",""MilkyWay"",""Mint"",""Mode"",""Neutron"",""Nibiru"",""Optimism"",""Polygon"",""Ronin"",""Sei"",""Solana"",""Solaxy"",""Soneium"",""Sonic"",""Sonic SVM"",""SOON"",""Sophon"",""Starknet"",""Stride"",""Subtensor"",""Superseed"",""Swell"",""Taiko"",""Unichain"",""Viction"",""World Chain"",""Zircuit"",""Botanix""]",NULL,NULL
interport,Interport Finance,Meta‑DEX Cross‑chain Swap Bridge,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Single‑chain DEX routing""]",,"[""Meta-Dex aggregation"",""Bridge-free routing""]","[""ERC‑20"",""Stablecoins""]",Swap fees,TRUE,Aggregates cross-chain messaging,"[""Audits available""]",Decentralized,"[""TypeScript""]",[],,NULL,NULL
jumper,Jumper.Exchange,Cross‑chain Swaps,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Swap""]",[],"[""Simple swap + bridge""]","[""ETH"",""ERC‑20""]",Gas Fee + swap fee,TRUE,Security via smart contracts,[],Decentralized,"[""Web UI"",""API""]",[],[],NULL,NULL
layerswap,Layerswap,Cross‑chain Swaps,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",[],"[""Exchange <> L2 bridging""]","[""ETH"",""ERC‑20""]",Gas Fee + small service fee,TRUE,Bridging secured through centralized custody & partners,[],Semi-centralized,"[""Web UI""]",[],"[""Ethereum"",""Polygon"",""Linea"",""Base"",""BNB Chain"",""opBNB"",""Arbitrum One"",""Optimism"",""Arbitrum"",""OP Mainnet"",""Avalanche"",""Solana"",""Hyperliquid"",""HyperEVM"",""Gnosis"",""Sonic"",""Cronos zkEVM"",""Abstract"",""Berachain"",""Story"",""Neon"",""Flow"",""BOB"",""Mantle"",""Sophon"",""Sei""]",NULL,NULL
layerzero,LayerZero Labs,Omnichain Messaging & OFT,TRUE,"[""Discord"",""Email""]",FALSE,"[""REST API"",""GraphQL""]","[""Blockscout"",""Custom Dashboards""]","[""Omnichain Fungible Token"",""Unified Liquidity Pools"",""Cross‑chain Governance""]","[""ETH"",""ERC‑20 OFT""]",Gas Fee,TRUE,Configurable DVN consensus across chains,"[""Ackee Blockchain Protocol Audit (Mar 2022)"",""ChainSecurity OFT/OApp Audit"",""Zellic Core Audit""]",Decentralized,"[""TypeScript""]",[],"[""Ethereum"", ""Binance Smart Chain"", ""Avalanche"", ""Polygon"", ""Matic"", ""Arbitrum One"", ""Optimism Mainnet""]",NULL,NULL
mayan,Mayan Finance,Intent-based Cross-chain Swap Bridge,TRUE,"[""Discord""]",FALSE,"[""Cross-chain Swap""]",,"[""Built on Wormhole Token Bridge"",""One-click auction swaps""]","[""ERC-20"",""Stablecoins""]",Wormhole gas + swap fee (~0.1%),TRUE,Wormhole primitives + swap auction logic,[],Decentralized,"[""TypeScript""]",[],,NULL,NULL
meson,Meson,Stablecoin Bridge,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Swaps""]",[],"[""USDT/USDC optimization"",""Fast settlement""]","[""USDT"",""USDC""]",Low Fee,TRUE,Secured via cryptographic proofs and liquidity partners,"[""Trail of Bits""]",Decentralized,"[""Web UI""]",[],"[""Abstract"",""Ancient8"",""ApeChain"",""Arbitrum One"",""Artela"",""Avalanche"",""Base"",""Berachain"",""Bitlayer"",""Blast"",""BOB"",""Boba"",""BNB Chain"",""B² Network"",""Celo"",""Coti"",""Cronos"",""Degen"",""Eclipse"",""Ethereum"",""Etherlink"",""EVM on Flow"",""Fantom"",""Flare"",""Form"",""Fraxtal"",""Fuse"",""GOAT"",""Gnosis"",""Gravity"",""HashKey Chain"",""Hemi"",""Immutable zkEVM"",""Injective"",""IOTA"",""Kaia"",""Kava"",""Kroma"",""Lens"",""Lightlink"",""Linea"",""Lisk"",""Manta"",""Mantle"",""Merlin"",""Metis"",""Milkomeda"",""Mint"",""Mode"",""Manta Pacific"",""Monad"",""Moonbeam"",""Moonriver"",""Morph"",""Neon"",""Nibiru"",""opBNB"",""Optimism"",""Orderly"",""Parallel"",""Peaq"",""Plume"",""Polygon"",""Polygon zkEVM"",""Polynomial"",""Rari"",""Ronin"",""Rootstock"",""Sanko"",""Scroll"",""Sei"",""Shardeum"",""Shibarium"",""Skale"",""Solana"",""Soneium"",""Starknet"",""Story"",""Stride"",""Superposition"",""Swellchain"",""Taiko"",""Telos"",""Tron"",""Vana"",""Viction"",""ZetaChain"",""Zircuit"",""ZkSync Era"",""Zora""]",NULL,NULL
messina,MessinaOne Bridge,Cross‑chain Bridge via Wormhole,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",[],"[""Wormhole integration"",""Liquidity pools""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Audited by Certik & Kudelski,"[""Certik"",""Kudelski Security""]",Hybrid,"[""Web UI""]",[],[],NULL,NULL
okutrade,Oku Trade,Bridge & Swap Meta‑Aggregator,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Bridge Aggregation""]",,"[""DeFi aggregator across 18 EVM chains"",""Uniswap v3 trading frontend""]","[""ERC‑20"",""Stablecoins""]",Gas Fee + bridge/DEX fees,TRUE,"Aggregates best bridge/swap rates, non‑custodial routing","[""Uniswap Foundation funded, no exploit""]",Decentralized,"[""TypeScript""]",[],,NULL,NULL
omnihub,OmniHub,Modular Cross‑chain Bridge,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Transfer""]",[],"[""Modular intents"",""Composable routing""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Modular security based on integrated providers,[],Modular,"[""Web UI""]",[],[],NULL,NULL
orbiter,Orbiter Finance,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",[],"[""Low cost"",""Instant confirmation""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Peer-to-peer intents & liquidity providers,[],Decentralized,"[""Web UI""]",[],"[""Aleph Zero"",""Arbitrum"",""BNB Chain"",""Base"",""Blast"",""Ethereum"",""Ink"",""Lens"",""Linea"",""Lisk"",""Mode"",""Optimism"",""Polygon"",""Redstone"",""Scroll"",""Solana"",""Soneium"",""Unichain"",""World Chain"",""Zora"",""zkSync""]",NULL,NULL
owlto,Owlto Finance,Cross‑rollup Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",[],"[""Fast confirmation"",""Low fees""]","[""ETH"",""USDC"",""USDT""]",Gas Fee + protocol fee,TRUE,Relayer-based verification with ZK/optimistic fallback,[],Hybrid,"[""Web UI""]",[],"[""Eclipse"",""Soneium"",""Katana"",""Unichain"",""Ink"",""Abstract"",""Base"",""Arbitrum"",""Ethereum"",""Linea"",""Optimism"",""AlienX"",""Arbitrum Nova"",""Avalanche"",""Bera"",""Blast"",""BNB Chain"",""BOB"",""B²"",""Core"",""Cyber"",""Duckchain"",""Gnosis"",""Goat"",""Gravity"",""HashKey"",""Hemi"",""Lens"",""Lisk"",""Manta"",""Mantle"",""Matchain"",""Merlin"",""Metis"",""Mint"",""Mode"",""Morph"",""opBNB"",""Over"",""Polygon"",""Polygon zkEVM"",""RARI"",""Redstone"",""Scroll"",""Shape"",""Solana"",""Soon"",""svmBNB"",""Sonic"",""Story"",""Swan"",""Taiko"",""U2U Solaris"",""WorldChain"",""X Layer"",""Zeta"",""zkSync Era"",""Zero"",""Zircuit"",""Zora""]",NULL,NULL
pheasant,Pheasant Network,Intent-based Cross‑chain Bridge,TRUE,"[""Discord""]",FALSE,"[""Token Transfer via intents""]",,"[""Optimistic rollup architecture"",""Bridge-as-a-Service (BaaS)""]","[""ERC‑20"",""Stablecoins""]",Gas Fee + relayer fee,TRUE,Optimistic security with UMA-style dispute challenge,[],Decentralized,"[""TypeScript""]",[],,NULL,NULL
polyhedra,Polyhedra Network,zk‑Bridge with Zero‑Knowledge State Proofs,TRUE,"[""Discord""]",FALSE,"[""Token & NFT Transfer"",""Cross‑chain Messaging""]",,"[""zk proofs for trustless state verification"",""Supports 20+ L1/L2s""]","[""ERC‑20"",""NFT""]",Gas Fee + ZK fee,TRUE,ZK proofs validate full state without trust assumptions,"[""Platform audits reported""]",Decentralized,"[""TypeScript""]",[],,NULL,NULL
retro,Retro Bridge,Cross‑chain Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",[],"[""Native stablecoin bridging""]","[""ETH"",""USDC""]",Gas Fee,TRUE,Relayer network with proof-based validation,[],Decentralized,"[""Web UI""]",[],[],NULL,NULL
rhinofi,RhinoFi,Cross-chain Stablecoin Bridge,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Bridge API""]",,"[""Smart deposit API from CEXes"",""Cross-chain liquidity flows""]","[""Stablecoins""]",Gas Fee + liquidity fee,TRUE,"Liquidity-outpost pools, smart deposit routing","[""Independent audits reported""]",Semi-Decentralized,"[""TypeScript""]",[],,NULL,NULL
routernitro,Router Nitro,Cross‑chain Messaging + Swap,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Messaging"",""Swap""]",[],"[""Low latency"",""CCTP support""]","[""ETH"",""USDC"",""ERC‑20""]",Gas Fee + platform fee,TRUE,Security based on Router's protocol layer,"[""Certik""]",Decentralized,"[""Web UI"",""SDK""]",[],[],NULL,NULL
routerprotocol,Router Protocol,Chain Abstraction,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Liquidity Aggregation""]",[],"[""Multi‑chain routing""]","[""ETH"",""ERC‑20""]",Gas Fee + protocol fee,TRUE,Security via settlement chains,[],Decentralized,"[""SDK"",""Web UI?""]",[],"[""Arbitrum"",""Ethereum"",""Polygon"",""OP Mainnet"",""BNB Chain""]",NULL,NULL
rubic,Rubic,Bridge Aggregator,TRUE,"[""Discord""]",FALSE,"[""Bridge API"",""Swap API""]",[],"[""15k+ tokens"",""100+ chains supported""]","[""ETH"",""ERC‑20""]",Depends on underlying bridge,TRUE,Security inherited from selected bridge,[],Aggregator,"[""JS SDK"",""Web UI""]",[],"[""Eclipse"",""Soneium"",""Katana"",""Unichain"",""Ink"",""Abstract"",""Base"",""Arbitrum"",""Ethereum"",""Linea"",""Optimism"",""AlienX"",""Arbitrum Nova"",""Avalanche"",""Bera"",""Blast"",""BNB Chain"",""BOB"",""B²"",""Core"",""Cyber"",""Duckchain"",""Gnosis"",""Goat"",""Gravity"",""HashKey"",""Hemi"",""Lens"",""Lisk"",""Manta"",""Mantle"",""Matchain"",""Merlin"",""Metis"",""Mint"",""Mode"",""Morph"",""opBNB"",""Over"",""Polygon"",""Polygon zkEVM"",""RARI"",""Redstone"",""Scroll"",""Shape"",""Solana"",""Soon"",""svmBNB"",""Sonic"",""Story"",""Swan"",""Taiko"",""U2U Solaris"",""WorldChain"",""X Layer"",""Zeta"",""zkSync Era"",""Zero"",""Zircuit"",""Zora""]",NULL,NULL
safeswap,SafeSwap,Atomic Swap Native Token Bridge,TRUE,"[""Discord""]",FALSE,"[""Token Transfer""]",,"[""Atomic swaps peer-to-peer"",""No wrapped tokens""]","[""Native EVM tokens""]",Gas Fee,FALSE,"Atomic swap locks/unlocks between user wallets, no liquidity pools","[""Audit referenced on GitHub""]",Decentralized,"[""TypeScript""]",[],,NULL,NULL
smolrefuel,SmolRefuel,Gas Refuel Bridge,TRUE,"[""Discord""]",FALSE,"[""Gas Token Swap""]",,"[""Gas refueling across 80+ chains"",""Swap any token to gas without pre-funding""]",[],Gas Fee swap model,FALSE,"Non-custodial, gas-only utility",[],Decentralized,"[""TypeScript""]",[],,NULL,NULL
squid,Squid,Cross‑chain Swaps (via Axelar GMP),TRUE,"[""Discord""]",FALSE,"[""Swaps"",""Messaging""]",[],"[""Composable Cross‑chain Contracts""]","[""ETH"",""ERC‑20""]",Gas Fee + relayer fee,TRUE,Secured via Axelar network,[],Decentralized,"[""TypeScript SDK"",""Web UI""]",[],"[""Abstract"",""Aleph Zero"",""Ancient8"",""ApeChain"",""Arbitrum One"",""Artela"",""Avalanche"",""Base"",""Berachain"",""Bitlayer"",""Blast"",""BOB"",""Boba"",""BNB Smart Chain"",""B² Network"",""Celo"",""Coti"",""Cronos"",""Degen"",""Eclipse"",""Ethereum Mainnet"",""Etherlink"",""EVM on Flow"",""Fantom"",""Flare"",""Form"",""Fraxtal"",""Fuse"",""GOAT"",""Gnosis"",""Gravity"",""HashKey Chain"",""Hemi"",""Immutable zkEVM"",""Ink"",""Injective"",""IOTA"",""Kaia"",""Kava"",""Kroma"",""Lens"",""Lightlink"",""Linea"",""Lisk"",""Manta Pacific"",""Mantle"",""Merlin"",""Metis"",""Milkomeda"",""Mint"",""Mode"",""Monad"",""Moonbeam"",""Moonriver"",""Morph"",""Neon"",""Nibiru"",""opBNB"",""Optimism"",""Orderly"",""Parallel"",""Peaq"",""Plume"",""Polygon Network"",""Polygon zkEVM"",""Polynomial"",""Rari"",""Redstone"",""Ronin"",""Rootstock"",""Sanko"",""Scroll"",""Sei"",""Shardeum"",""Shibarium"",""Skale"",""Solana"",""Soneium"",""Starknet"",""Story"",""Stride"",""Superposition"",""Swellchain"",""Taiko"",""Telos"",""Tron"",""Unichain"",""Vana"",""Viction"",""World Chain"",""ZetaChain"",""Zircuit"",""ZkSync Era"",""Zora""]",NULL,NULL
stargate,Stargate Finance,Omnichain Liquidity Layer,TRUE,"[""Discord"",""Email""]",FALSE,"[""REST API"",""GraphQL""]","[""Pooled Liquidity Transfers"",""OFT Cross-chain Transfers""]","[""Unified Liquidity Pools"",""Low-Fee (0.06%)"",""OFT Support""]","[""ETH"",""USDC"",""USDT"",""ERC‑20"",""OFT""]","Gas Fee, Protocol Fee",TRUE,Decentralized pools secured by LayerZero consensus,"[""Audit(s) by DeFi teams""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://stargate.finance/)""]","[""Base"", ""Arbitrum"", ""OP Mainnet"", ""Linea"", ""Ethereum"", ""Unichain"", ""Soneium"", ""Hypercore"",  ""Aptos"", ""Solana"", ""Abstract"", ""Ape"", ""Astar"", ""NEAR"", ""Avalanche"", ""Bera"", ""Blast"", ""BNB"",  ""BOB"", ""Botanix"", ""CELO"", ""Core"", ""Corn"", ""Cronos"", ""Cyber"", ""Degen"", ""Etherlink"", ""Fantom"",  ""Flare"", ""Flow"", ""Fraxtal"", ""Fuse"", ""Glue"", ""GNO"", ""GOAT"", ""Gravity"", ""Hemi"", ""HyperEVM"",  ""Ink"", ""IOTA"", ""Kaia"", ""Katana"", ""Kava"", ""Lightlink"", ""Lisk"", ""Manta"", ""Mantle"", ""Metis"",  ""Mode"", ""moonbeam"", ""MOON"", ""Morph"", ""Nibiru"", ""opBNB"", ""Peaq"", ""Plume"", ""Polygon"", ""zkEVM"",  ""Rari"", ""Rootstock"", ""Sanko"", ""Scroll"", ""SEI"", ""Sonic"", ""SOPH"", ""Story"", ""Superposition"",  ""Swell"", ""TAC"", ""TAIKO"", ""TelosEVM"", ""TON"", ""Tron"", ""Vana"", ""Worldchain"", ""X Layer"", ""XDC"",  ""xpla"", ""Zircuit"", ""zkSync"", ""Zora""]",NULL,NULL
starkware,StarkWare,Native L1↔L2 Token Bridge,TRUE,"[""Email"",""Bridge UI""]",FALSE,"[""Deposit"",""Withdrawal""]",,"[""Starknet Messaging"",""ETH & ERC-20 Support""]","[""ETH"",""ERC-20""]",Gas Fee,TRUE,Official StarkWare implementation,"[""Starknet Audits""]",Semi-Decentralized,"[""Cairo""]",[],,NULL,NULL
superbridge,Superbridge,Cross‑chain Messaging,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",[],"[""Native USDC via CCTP"",""Easy Mode withdrawals""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Economic security via OP‑Stack / Nitro and CCTP for USDC,[],Decentralized,"[""Web UI"",""SDK CLI?""]","[""[Bridge](https://superbridge.app/)"", ""[Docs](https://docs.superbridge.xyz/)""]","[""Ethereum"",""Base"",""BNB Smart Chain"",""Arbitrum One"",""Unichain"",""OP Mainnet"",""Soneium"",""Linea Mainnet"",""World Chain"",""Ink"",""Celo"",""Swellchain"",""Superseed"",""BOB"",""Mode Mainnet"",""Zora"",""Lisk"",""Redstone"",""HashKey Chain"",""Ethernity"",""Mint Mainnet"",""Swan Chain"",""Orderly Network"",""Shape"",""Derive"",""Settlus"",""Cyber"",""Arena Z"",""Polynomial Mainnet"",""Lumio"",""Funki Mainnet"",""Automata Mainnet"",""Ancient8"",""Metal L2""]",NULL,NULL
swoop,Swoop Exchange,Meta‑DEX & Bridge Aggregator,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Aggregator API""]",,"[""Aggregates 13+ bridges & 50+ DEXs"",""Best‑rate routing across 16 chains""]","[""ERC‑20"",""Stablecoins"",""Other tokens""]",Gas Fee + bridge/DEX fees,TRUE,"Non‑custodial, inherits security of underlying bridges",[],Decentralized,"[""TypeScript""]",[],,NULL,NULL
symbiosis,Symbiosis,Cross‑chain AMM Swap Bridge,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Bridge""]",[],"[""Aggregated liquidity across networks""]","[""ETH"",""USDC"",""ARB""]",Gas Fee + protocol fee,TRUE,Security via canonical chains,"[""Trail of Bits""]",Decentralized,"[""Web UI"",""SDK""]",[],[],NULL,NULL
synapse,Synapse Protocol,Cross-chain Asset & Messaging Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Cross-chain Contract Calls""]",,"[""Generalized Messaging"",""Token Swap""]","[""ERC-20"",""Stablecoins""]",Gas Fee + Bridge Fee,TRUE,Liquidity pools with smart contract messaging,"[""Security Audits Available""]",Decentralized,"[""TypeScript""]","[""[Bridge](https://synapseprotocol.com/)""]",,NULL,NULL
transporter,Transporter,CCIP Cross-Chain Communication & Asset Bridge,TRUE,"[""Discord""]",FALSE,"[""Token Transfer"",""Cross-chain Messaging""]",,"[""Powered by Chainlink CCIP"",""Enterprise-grade cross-chain integration""]","[""ERC‑20"",""Stablecoins"",""NFT""]",Gas Fee + relayer fee,TRUE,Security via Chainlink decentralized oracle network,[],Decentralized,"[""TypeScript""]",[],,NULL,NULL
umbria,Umbria Network,Intent-based Bridge,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",[],"[""Fast bridging"",""Low fees""]","[""ETH"",""ERC‑20""]",Gas Fee + service fee,TRUE,Relayer-based intent execution,[],Hybrid,"[""Web UI""]",[],[],NULL,NULL
universalx,UniversalX,Chain‑agnostic Trading Platform (no classical bridge),FALSE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Token Purchase""]",,"[""Unified balance across chains"",""Pay gas with any token""]",[],Swap/Trade fees,FALSE,"Chain abstraction, no bridge needed",[],Decentralized,"[""TypeScript""]",[],,NULL,NULL
