slug,provider,chain,address,technology,plan,trial,accessPrice,queryPrice,starred,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,uptimeSla,bandwidthSla,blocksBehindSla,supportSla
goldsky-mainnet-pay-as-you-go,!provider:goldsky-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,
goldsky-mainnet-enterprise,!provider:goldsky-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,
goldsky-coston2-free,!provider:goldsky-free,Coston2,,,,,,,,,,,,,,,,,"[""[Website](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,
goldsky-coston2-pay-as-you-go,!provider:goldsky-pay-as-you-go,Coston2,,,,,,,,,,,,,,,,,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,
goldsky-coston2-enterprise,!provider:goldsky-enterprise,Coston2,,,,,,,,,,,,,,,,,"[""[Contact](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,
sqd-mainnet-free,!provider:sqd-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://www.sqd.ai/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
sqd-mainnet-pay-as-you-go,!provider:sqd-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://docs.sqd.ai/cloud/pricing/#pay-as-you-go-prices)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
subquery-mainnet-free,!provider:subquery-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://app.subquery.network/explorer/home)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/flare.html)""]",,,,
subquery-mainnet-pay-as-you-go,!provider:subquery-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://subquery.network/doc/subquery_network/consumers/plan.html#creating-a-flex-plan)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/flare.html)""]",,,,
subquery-mainnet-enterprise,!provider:subquery-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://subquery.network/doc/subquery_network/consumers/plan.html#creating-a-flex-plan)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/flare.html)""]",,,,
subquery-songbird-free,!provider:subquery-free,Songbird,,,,,,,,,,,,,,,,,"[""[Website](https://app.subquery.network/explorer/home)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/flare.html)""]",,,,
subquery-songbird-pay-as-you-go,!provider:subquery-pay-as-you-go,Songbird,,,,,,,,,,,,,,,,,"[""[Buy](https://subquery.network/doc/subquery_network/consumers/plan.html#creating-a-flex-plan)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/flare.html)""]",,,,
subquery-songbird-enterprise,!provider:subquery-enterprise,Songbird,,,,,,,,,,,,,,,,,"[""[Contact](https://subquery.network/doc/subquery_network/consumers/plan.html#creating-a-flex-plan)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/flare.html)""]",,,,
thirdweb-mainnet-free,!provider:thirdweb-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://thirdweb.com/flare)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
thirdweb-mainnet-pay-as-you-go,!provider:thirdweb-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
thirdweb-mainnet-enterprise,!provider:thirdweb-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
thirdweb-coston2-free,!provider:thirdweb-free,Coston2,,,,,,,,,,,,,,,,,"[""[Website](https://thirdweb.com/flare-testnet-coston2)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
thirdweb-coston2-pay-as-you-go,!provider:thirdweb-pay-as-you-go,Coston2,,,,,,,,,,,,,,,,,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
thirdweb-coston2-enterprise,!provider:thirdweb-enterprise,Coston2,,,,,,,,,,,,,,,,,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/insight)""]",,,,
