slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
getblock-mainnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
goldsky-coston2-enterprise-indexer,!provider:goldsky-enterprise-indexer,"[""[Contact](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,,,Coston2,,,,,,,,,,,,,,,,,,
goldsky-coston2-free-indexer,!provider:goldsky-free-indexer,"[""[Website](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,,,Coston2,,,,,,,,,,,,,,,,,,
goldsky-coston2-pay-as-you-go-indexer,!provider:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,,,Coston2,,,,,,,,,,,,,,,,,,
goldsky-mainnet-enterprise-indexer,!provider:goldsky-enterprise-indexer,"[""[Contact](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
goldsky-mainnet-free-indexer,!provider:goldsky-free-indexer,"[""[Website](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
goldsky-mainnet-pay-as-you-go-indexer,!provider:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
nownodes-mainnet-free,!provider:nownodes-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
nownodes-mainnet-pay-as-you-go,!provider:nownodes-pay-as-you-go-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-enterprise,!provider:quicknode-enterprise-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
quicknode-mainnet-pay-as-you-go-recent-state,!provider:quicknode-pay-as-you-go-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,
sqd-mainnet-free-indexer,!provider:sqd-free-indexer,"[""[Website](https://www.sqd.ai/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
sqd-mainnet-pay-as-you-go-indexer,!provider:sqd-pay-as-you-go-indexer,"[""[Buy](https://docs.sqd.ai/cloud/pricing/#pay-as-you-go-prices)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
subquery-mainnet-pay-as-you-go-indexer,!provider:subquery-pay-as-you-go-indexer,"[""[Buy](https://subquery.network/doc/subquery_network/consumers/plan.html#creating-a-flex-plan)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/flare.html)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
thirdweb-coston2-enterprise-indexer,!provider:thirdweb-enterprise-indexer,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://insight.thirdweb.com/reference)""]",,,,,,Coston2,,,,,,,,,,,,,,,,,,
thirdweb-coston2-free-indexer,!provider:thirdweb-free-indexer,"[""[Website](https://thirdweb.com/flare-testnet-coston2)"",""[Docs](https://insight.thirdweb.com/reference)""]",,,,,,Coston2,,,,,,,,,,,,,,,,,,
thirdweb-coston2-pay-as-you-go-indexer,!provider:thirdweb-pay-as-you-go-indexer,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://insight.thirdweb.com/reference)""]",,,,,,Coston2,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-enterprise-indexer,!provider:thirdweb-enterprise-indexer,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://insight.thirdweb.com/reference)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-free-indexer,!provider:thirdweb-free-indexer,"[""[Website](https://thirdweb.com/flare)"",""[Docs](https://insight.thirdweb.com/reference)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-pay-as-you-go-indexer,!provider:thirdweb-pay-as-you-go-indexer,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://insight.thirdweb.com/reference)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
gateway-fm-mainnet-free-recent-state,!provider:gateway-fm-free-recent-state,,,,,,,"mainnet",,,,,,,,,,,,,,,,,,
gateway-fm-mainnet-public-rpc-recent-state,!provider:gateway-fm-public-rpc-recent-state,,,,,,,"mainnet",,,,,,,,,,,,,,,,,,
gateway-fm-mainnet-enterprise-recent-state,!provider:gateway-fm-enterprise-recent-state,,,,,,,"mainnet",,,,,,,,,,,,,,,,,,
gateway-fm-mainnet-dedicated-recent-state,!provider:gateway-fm-dedicated-recent-state,,,,,,,"mainnet",,,,,,,,,,,,,,,,,,
gateway-fm-testnet-free-recent-state,!provider:gateway-fm-free-recent-state,,,,,,,"testnet",,,,,,,,,,,,,,,,,,
gateway-fm-testnet-public-rpc-recent-state,!provider:gateway-fm-public-rpc-recent-state,,,,,,,"testnet",,,,,,,,,,,,,,,,,,
gateway-fm-testnet-enterprise-recent-state,!provider:gateway-fm-enterprise-recent-state,,,,,,,"testnet",,,,,,,,,,,,,,,,,,
gateway-fm-testnet-dedicated-recent-state,!provider:gateway-fm-dedicated-recent-state,,,,,,,"testnet",,,,,,,,,,,,,,,,,,
gateway-fm-mainnet-basic,!provider:gateway-fm-basic,"[""[Website](https://gateway.fm/indexer/)"",""[Website](https://gateway.fm/security/)""]",,,,,,"mainnet",,,,,,,,,,,,,,,,,,
gateway-fm-mainnet-pro,!provider:gateway-fm-pro,"[""[Website](https://gateway.fm/indexer/)"",""[Website](https://gateway.fm/security/)""]",,,,,,"mainnet",,,,,,,,,,,,,,,,,,
gateway-fm-mainnet-pro-plus,!provider:gateway-fm-pro-plus,"[""[Website](https://gateway.fm/indexer/)"",""[Website](https://gateway.fm/security/)""]",,,,,,"mainnet",,,,,,,,,,,,,,,,,,
gateway-fm-mainnet-enterprise,!provider:gateway-fm-enterprise,"[""[Website](https://gateway.fm/indexer/)"",""[Website](https://gateway.fm/security/)""]",,,,,,"mainnet",,,,,,,,,,,,,,,,,,
gateway-fm-testnet-basic,!provider:gateway-fm-basic,"[""[Website](https://gateway.fm/indexer/)"",""[Website](https://gateway.fm/security/)""]",,,,,,"testnet",,,,,,,,,,,,,,,,,,
gateway-fm-testnet-pro,!provider:gateway-fm-pro,"[""[Website](https://gateway.fm/indexer/)"",""[Website](https://gateway.fm/security/)""]",,,,,,"testnet",,,,,,,,,,,,,,,,,,
gateway-fm-testnet-pro-plus,!provider:gateway-fm-pro-plus,"[""[Website](https://gateway.fm/indexer/)"",""[Website](https://gateway.fm/security/)""]",,,,,,"testnet",,,,,,,,,,,,,,,,,,
gateway-fm-testnet-enterprise,!provider:gateway-fm-enterprise,"[""[Website](https://gateway.fm/indexer/)"",""[Website](https://gateway.fm/security/)""]",,,,,,"testnet",,,,,,,,,,,,,,,,,,
