slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,starred,actionButtons,address
nodely-testnet-enteprise-archive,Nodely,Enterprise,Full Archive,testnet,$1024/region,,99.99%,NULL,NULL,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""3K req/sec/region"",""Unlimited quota"",""900 req/sec/IP"",""3K transactions/sec/project"",""900 transactions/sec/IP""]","[""Secure API keys"",""IPFS GW""]","[""180 day log analytics""]","[""Global""]",NULL,NULL,NULL,FALSE,"[""[Contact](https://nodely.io/contact)"",""[Docs](https://nodely.io/docs/free/start/)""]",
nownodes-mainnet-free,!provider:nownodes-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://nownodes.io/nodes/algorand-algo)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",
nownodes-mainnet-pay-as-you-go,!provider:nownodes-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",
nownodes-mainnet-enterprise,!provider:nownodes-enterprise-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",
nownodes-mainnet-dedicated,!provider:nownodes-dedicated-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",
nownodes-testnet-free,!provider:nownodes-free-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Website](https://nownodes.io/nodes/algorand-algo)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",
nownodes-testnet-pay-as-you-go,!provider:nownodes-pay-as-you-go-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",
nownodes-testnet-enterprise,!provider:nownodes-enterprise-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",
nownodes-testnet-dedicated,!provider:nownodes-dedicated-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",
tatum-mainnet-free,!provider:tatum-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",
tatum-mainnet-pay-as-you-go,!provider:tatum-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Buy](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",
tatum-mainnet-enterprise,!provider:tatum-enterprise-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",
tatum-mainnet-pay-as-you-go-archive,!provider:tatum-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Buy](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",
tatum-mainnet-enterprise-archive,!provider:tatum-enterprise-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",
tatum-testnet-free,!provider:tatum-free-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Website](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",
tatum-testnet-pay-as-you-go,!provider:tatum-pay-as-you-go-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Buy](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",
tatum-testnet-enterprise,!provider:tatum-enterprise-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",
tatum-testnet-pay-as-you-go-archive,!provider:tatum-pay-as-you-go-full-archive,,,testnet,,,,,,,,,,,,,,,,"[""[Buy](https://tatum.io/chain/algorand)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",
tatum-testnet-enterprise-archive,!provider:tatum-enterprise-full-archive,,,testnet,,,,,,,,,,,,,,,,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",
