slug,provider,offer,actionButtons,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance
ercx-standard,ERCx,,"[""[Buy](https://ercx.runtimeverification.com/pricing)""]","[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]","It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",TBD,,$100/mo,FALSE,FALSE,compliance checker,Web app,,"[""smart contracts"",""token standards""]",
failsafe,FailSafe,,"[""[Website](https://getfailsafe.com/)""]","[""AI Security"",""Penetration Testing"",""Real-Time Threat Detection"",""Security Audits""]","It focused on security and compliance for the blockchain, Web3 and AI industries",Free,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
goplus-beginner,Goplus,,"[""[Buy](https://gopluslabs.io/security-api#pricing)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Tiered,Beginner,$399/mo,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-enterprise,Goplus,,"[""[Contact](https://t.me/Goplusservice)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Enterprise,,Custom,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-free,Goplus,,"[""[Website](https://gopluslabs.io/security-api)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Free,,$0,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-growth,Goplus,,"[""[Buy](https://gopluslabs.io/security-api#pricing)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Tiered,Growth,$799/mo,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-pro,Goplus,,"[""[Buy](https://gopluslabs.io/security-api#pricing)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Tiered,Pro,$1899/mo,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-test,Goplus,,"[""[Buy](https://gopluslabs.io/security-api#pricing)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Tiered,Test,$199/mo,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-ultra,Goplus,,"[""[Buy](https://gopluslabs.io/security-api#pricing)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Tiered,Ultra,$3499/mo,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
openzeppelin-audits,OpenZeppelin,,"[""[Website](https://openzeppelin.com/security-audits/)""]","[""Web3 Security"",""Smart Contract Audits"",""Formal Verification"",""Code Reviews""]","Comprehensive smart contract audit services including manual review, automated analysis, and formal verification for decentralized applications",Enterprise,,Custom,FALSE,FALSE,Audits,TBD,"Solidity, Cairo, Rust, Go","[""smart contracts""]","[""SOC2""]"
polyzoa,Polyzoa,,,"[""Anti-scam solutions"",""Threat Detection"",""Phishing Protection"",""Web3 Security""]",Developer tool provider in the Web3 space that offers an anti-scam security layer for blockchain infrastructure,TBD,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
quantstamp-blockchain-protocol-audit,Quantstamp,,"[""[Website](https://quantstamp.com/blog/quantstamp-audits-layer-1-blockchains)""]","[""Blockchain Protocol Audits"",""Layer 1 Security"",""Layer 2 Security"",""Consensus Security""]","Security assessments for base-layer blockchain protocols including L1 and L2 consensus, client, and ledger implementations.",Enterprise,,Custom,FALSE,FALSE,Audits,TBD,TBD,"[""layer 1 protocols"",""layer 2 protocols""]","[""TBD""]"
quantstamp-chainproof-insurance,Quantstamp,,"[""[Website](https://www.chainproof.co/)""]","[""Smart Contract Insurance"",""DeFi Insurance"",""Risk Transfer"",""Web3 Security""]","Regulated smart contract insurance covering DeFi deposit protection, slashing, custody, and protocol exploit risks through Chainproof.",Enterprise,,Custom,FALSE,FALSE,Insurance,TBD,TBD,"[""smart contracts"",""defi protocols""]","[""TBD""]"
quantstamp-economic-exploit-analysis,Quantstamp,,"[""[Website](https://quantstamp.com/economic-exploits)""]","[""Economic Security"",""Flash Loan Attacks"",""DeFi Security"",""Automated Analysis""]","Automated economic exploit analysis detecting flash loan and composability vulnerabilities in DeFi protocols across EVM chains.",Enterprise,,Custom,FALSE,FALSE,Economic Analysis,TBD,EVM,"[""defi protocols"",""smart contracts""]","[""TBD""]"
quantstamp-infrastructure-security-assessment,Quantstamp,,"[""[Website](https://quantstamp.com/infrastructure-audits)""]","[""Infrastructure Security"",""Penetration Testing"",""Web3 Infrastructure"",""Cloud Security""]","Security review of Web3 infrastructure using automated scanning and manual penetration testing for servers, APIs, and cloud components.",Enterprise,,Custom,FALSE,FALSE,Infrastructure Audits,TBD,TBD,"[""cloud infrastructure"",""apis"",""node infrastructure""]","[""TBD""]"
quantstamp-managed-security-services,Quantstamp,,"[""[Website](https://quantstamp.com/)""]","[""Managed Security"",""Continuous Monitoring"",""Web3 Security"",""Security Operations""]","Ongoing managed security services providing continuous monitoring and security operations for deployed blockchain applications.",Enterprise,,Custom,FALSE,FALSE,Managed Security,TBD,TBD,"[""smart contracts"",""defi protocols""]","[""TBD""]"
quantstamp-penetration-testing,Quantstamp,,"[""[Website](https://quantstamp.com/infrastructure-audits)""]","[""Penetration Testing"",""Infrastructure Security"",""Web Application Security"",""Web3 Security""]","Manual penetration testing for Web3 organizations covering infrastructure, APIs, and Web2 components supporting decentralized applications.",Enterprise,,Custom,FALSE,FALSE,Penetration Testing,TBD,TBD,"[""web applications"",""cloud infrastructure"",""apis""]","[""TBD""]"
quantstamp-smart-contract-audit,Quantstamp,,"[""[Website](https://quantstamp.com/audits)""]","[""Smart Contract Audits"",""Formal Verification"",""Static Analysis"",""Web3 Security""]","Comprehensive smart contract security audits combining manual review, automated analysis, and formal verification techniques.",Enterprise,,Custom,FALSE,FALSE,Audits,TBD,"Solidity, Rust, Move, Vyper","[""smart contracts""]","[""TBD""]"
safe,Safe,,"[""[Website](https://safe.global/)"",""[Docs](https://docs.safe.global/home/what-is-safe)""]","[""Modular Smart Accounts"",""Account Abstraction"",""SDK"",""API""]","Modular smart account infrastructure with a full account abstraction stack via Safe{Core} Account Abstraction SDK, API, and Protocol",TBD,,Custom,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
scam-sniffer-enterprise,Scam Sniffer,,"[""[Buy](https://www.scamsniffer.io/#pricing)""]","[""Phishing Protection"",""Anti-scam solutions"",""Web3 Security"",""Threat Detection""]","Protects Web3 users by identifying malicious domains, addresses, and phishing signatures in real-time before transactions are signed",Enterprise,,Custom,FALSE,FALSE,anti-scam protection,Web app,,"[""signature security"",""safe browsing"",""token approvals""]",
scam-sniffer-standard,Scam Sniffer,,"[""[Buy](https://www.scamsniffer.io/#pricing)""]","[""Phishing Protection"",""Anti-scam solutions"",""Web3 Security"",""Threat Detection""]","Protects Web3 users by identifying malicious domains, addresses, and phishing signatures in real-time before transactions are signed",Tiered,Standard,$999/mo,FALSE,FALSE,anti-scam protection,Web app,,"[""signature security"",""safe browsing"",""token approvals""]",
scam-sniffer-startup,Scam Sniffer,,"[""[Website](https://www.scamsniffer.io/)""]","[""Phishing Protection"",""Anti-scam solutions"",""Web3 Security"",""Threat Detection""]","Protects Web3 users by identifying malicious domains, addresses, and phishing signatures in real-time before transactions are signed",Free,Startup,$0,FALSE,FALSE,anti-scam protection,Web app,,"[""signature security"",""safe browsing"",""token approvals""]",
sec3-x-ray-build,Sec3,,"[""[Buy](https://sec3.dev/audits)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Tiered,Build,$1.9K/mo,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
sec3-x-ray-enterprise,Sec3,,"[""[Contact](https://pro.sec3.dev/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Enterprise,,Custom,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
sec3-x-ray-essential,Sec3,,"[""[Website](https://sec3.dev/audits)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Tiered,Essential,$99/mo,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
sec3-x-ray-scale,Sec3,,"[""[Buy](https://sec3.dev/audits)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Tired,Scale,$9.9K/mo,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
solidityscan-enterprise,SolidityScan,,"[""[Contact](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Enterprise,,Custom,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
solidityscan-on-demand,SolidityScan,,"[""[Buy](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Pay-as-you-go,On Demand,$29.99,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
solidityscan-pro,SolidityScan,,"[""[Buy](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Tiered,Pro,$499.99/mo,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
solidityscan-starter,SolidityScan,,"[""[Buy](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Tiered,Individual,$199.99/mo,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
ziion-linux-distro,Ziion Linux distro,,"[""[Website](https://www.ziion.org/)""]","[""Security Testing"",""Vulnerability Assessment"",""Cybersecurity"",""Virtual Machine""]","Functions as a specialized, pre-configured provider of developer and security tools for the blockchain and Web3 ecosystem",TBD,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
