slug,providerSlug,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
algokit-localnet,algorand,AlgoKit LocalNet,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#algokit-localnet)""]",Network Simulator,"[""Local sandboxed network"",""Ephemeral environment"",""Docker-based"",""KMD enabled"",""Named LocalNet instances"",""Configuration management"",""Offline usage"",""Developer-focused features""]",$0,Free,,Runs a local sandboxed Algorand network for offline development and testing using Docker images.,FALSE
algokit-utils,algorand,AlgoKit Utils,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#algokit-utils)""]",Utility Library,"[""Python"",""TypeScript"",""Client management"",""Account management"",""Algo amount handling"",""Transaction management"",""App management"",""App deployment"",""ARC-0032 Application Spec client"",""Algo transfers"",""Automated testing"",""Indexer searching""]",$0,Free,,Utility functions in TypeScript and Python to interact with Algorand blockchain easily and safely.,FALSE
ape-worx-evm-trace,apeworx,EVM Trace,"[""[Website](https://github.com/ApeWorX/evm-trace)""]",Testing and Debugging,"[""EVM Trace"",""Ethereum Debugging"",""Smart Contract Debugging"",""Transaction Tracing""]",$0,Free,,Python-dependent developer tool designed for debugging and analyzing Ethereum Virtual Machine transactions and smart contract execution,FALSE
arka-developer,etherspot-prime,Arka,"[""[Buy](https://etherspot.io/pricing/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$49/mo,Tiered,Developer,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-enterprise,etherspot-prime,Arka,"[""[Contact](https://etherspot.io/get-quote/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",Custom,Enterprise,,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-free,etherspot-prime,Arka,"[""[Website](https://etherspot.io/arka-paymaster/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$0,Free,,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-scale,etherspot-prime,Arka,"[""[Buy](https://etherspot.io/pricing/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$99/mo,Tiered,Scale,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
arka-startup,etherspot-prime,Arka,"[""[Buy](https://etherspot.io/pricing/)"",""[Docs](https://etherspot.fyi/arka/intro)""]",Tool,"[""ERC-4337"",""Paymaster"",""Gasless transactions""]",$299/mo,Tiered,Startup,"Provides gasless transactions, sponsored transactions, and alternative gas payments using ERC-20 tokens, adhering to the ERC-4337 standard to improve dApp user experience",FALSE
avm-debugger,algorand,AlgoKit AVM Debugger,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#avm-debugger)""]",Smart Contract Debugger,"[""Debug trace files"",""TEAL source map tags"",""Debugging configuration tags""]",$0,Free,,VS Code extension to debug Algorand TEAL smart contracts interactively.,FALSE
avnu-paymaster,avnu,AVNU Paymaster,"[""[Website](https://www.avnu.fi/)"",""[Docs](https://github.com/avnu-labs/paymaster)""]",Tool,"[""Paymaster"",""Starknet"",""Gas sponsorship""]",$0,Free,,Starknet paymaster infrastructure by AVNU for sponsoring transaction fees.,FALSE
base-pay-desk,base-pay-desk,,"[""[Website](https://oskarasi.github.io/base-pay-desk-site/)"",""[Source](https://github.com/oskarasi/base-pay-desk-site)""]",Tool,"[""Base"",""Payment links"",""Checkout"",""Merchant tools"",""Onchain commerce""]",$0,Free,,"Open-source static checkout builder that helps merchants create shareable Base ETH payment links, buyer-ready payment messages, setup request briefs, and portable handoff links while sellers keep control of their own wallets",FALSE
bitbond-token-tool-enterprise,bitbond-token-tool,,"[""[Buy](https://tokentool.bitbond.com/pricing)"",""[Docs](https://docs.bitbond.com/asset-tokenization-suite)""]",Tool,"[""Blockchain"",""Tokenization"",""Smart Contracts"",""No-code / Codeless"",""Token Generator""]",Custom,Enterprise,,"It is a web-based service for developers and businesses that provides a no-code platform to create, manage and distribute various blockchain tokens and NFTs across multiple EVM-compatible blockchains and other networks",FALSE
bitbond-token-tool-pay-as-you-go,bitbond-token-tool,,"[""[Buy](https://tokentool.bitbond.com/pricing)"",""[Docs](https://docs.bitbond.com/asset-tokenization-suite)""]",Tool,"[""Blockchain"",""Tokenization"",""Smart Contracts"",""No-code / Codeless"",""Token Generator""]",Usage based,Pay-as-you-go,,"It is a web-based service for developers and businesses that provides a no-code platform to create, manage and distribute various blockchain tokens and NFTs across multiple EVM-compatible blockchains and other networks",FALSE
bitgo,bitgo,,"[""[Website](https://www.bitgo.com/)""]",Finance,"[""Institutional-grade custody solution"",""Security""]",Custom,Enterprise,,"Institutional-grade digital asset infrastructure company that provides secure custody, wallet, trading, staking and settlement services for cryptocurrencies",FALSE
block-bucket-pay-as-you-go,blockbucket,,"[""[Website](https://blockbucket.io/)""]",Tool,"[""Airdrop tool"",""Token management"",""Web3 developer tool""]",0.01 ETH + Gas fee,Pay-as-you-go,,It is a developer tool and Web3 decentralized application that helps project creators and developers airdrop ERC-20 project tokens to multiple Ethereum addresses simultaneously,FALSE
bonadocs,bonadocs,,"[""[Website](https://registry.bonadocs.com/)""]",Tool,"[""Blockchain documentation"",""Smart contract documentation"",""API documentation tool""]",Custom,Enterprise,,"It provides a suite of developer tools designed to simplify smart contract integration, documentation, and collaboration for Web3 engineering teams",FALSE
bonadocs-docgen,bonadocs,Docgen,"[""[Docs](https://docs.bonadocs.com/)""]",Tool,"[""Documentation"",""Dev Productivity""]",Custom,Enterprise,,"It helps developers automatically generate beautiful, interactive documentation websites for their Solidity smart contract projects directly from the codebase",FALSE
brand-extender,brand-extender,,"[""[Website](https://brandextender.io/)""]",NFT,"[""NFT/Web3 Tools"",""SDK""]",Custom,Enterprise,,"It enables the creation of fully on-chain derivative NFTs or sets of NFTs, leveraging existing NFT collections with open intellectual property (IP) rights",FALSE
build-bear-developer,buildbear,,"[""[Buy](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$49/mo,Tiered,Developer,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-enterprise,buildbear,,"[""[Contact](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",From $499,Enterprise,,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-explorer,buildbear,,"[""[Website](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$0,Free,Explorer,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
build-bear-team,buildbear,,"[""[Buy](https://www.buildbear.io/pricing)"",""[Docs](https://www.buildbear.io/docs/docs)""]",Testing and Debugging,"[""Web3 Development"",""Smart Contract Testing"",""EVM-Compatible Testnets""]",$199/mo,Tiered,Team,"It provides cloud-enabled, private and shareable EVM sandbox environments for testing and debugging smart contracts in production-like conditions",FALSE
cannon,cannon,,"[""[Website](https://usecannon.com/)"",""[Docs](https://usecannon.com/learn/guides/get-started/setup)""]",Tool,"[""Smart Contract Deployment"",""Blockchain DevOps"",""Ethereum Network Development"",""Smart Contract Package Manager""]",Custom,Enterprise,,"It helps manage and streamline the deployment, upgrade and configuration of smart contracts and entire protocols across various networks",FALSE
chain-ide,chainide,,"[""[Website](https://chainide.com/)""]",IDE,"[""Web3 IDE"",""Blockchain development tools"",""Cloud-based IDE"",""Smart contract development""]",$0,Free,,"It provides a cloud-based, multi-chain Integrated Development Environment that offers a comprehensive, all-in-one platform for developers to build, test, and deploy decentralized applications and smart contracts",FALSE
chainlink-ccip,chainlink,CCIP,"[""[Docs](https://docs.chain.link/ccip)""]",Tool,"[""Blockchain interoperability""]",Custom,Pay-as-you-go,,Blockchain interoperability protocol for transferring tokens and messages across chains,FALSE
chainlist,chainlist,,"[""[Website](https://chainlist.org/)"",""[Docs](https://sites.google.com/view/chainlistsafe/)""]",Tool,"[""Web3 Developer Tools"",""MetaMask Integration"",""Wallet Connection"",""Custom Network Information"",""Multichain""]",$0,Free,,"It provides a comprehensive and verified list of network details for various Ethereum Virtual Machine compatible blockchains, which simplifies a crucial configuration step for Web3 developers and users. ",FALSE
client-generator,algorand,AlgoKit Client Generator,"[""[Docs](https://dev.algorand.co/algokit/algokit-intro/#client-generator)""]",Code Generator,"[""Python"",""TypeScript""]",$0,Free,,Generates type-safe smart contract clients from ARC-0032 specifications for easy contract interaction,FALSE
codeslaw,codeslaw,,"[""[Website](https://www.codeslaw.app/)""]",Tool,"[""Smart Contract Search Engine"",""Verified Contract Code"",""Web3 Development""]",$0,Free,,"Developer tool and search engine that allows developers to search for and explore verified smart contract code across various blockchain networks, primarily Ethereum",FALSE
coinflow,coinflow,,"[""[Website](https://coinflow.cash/)""]",Tool,"[""Payment Infrastructure/Solutions"",""Web3/Crypto Integration"",""API integration""]",Custom,Dedicated,,"It provides a suite of tools that enable developers to seamlessly integrate comprehensive payment solutions into their applications: Accept diverse payments, Instant settlement, Risk and compliance management",FALSE
coingate-enterprise,coingate,,"[""[Website](https://coingate.com/)""]",Finance,"[""Merchant"",""Invoicing"",""Processing""]",1% Fee,Enterprise,,"Cryptocurrency payment gateway. It enables accepting payments in Bitcoin, USDC and various other cryptocurrencies",FALSE
coingate-standard,coingate,,"[""[Website](https://coingate.com/)""]",Finance,"[""Merchant"",""Invoicing"",""Processing""]",1% Fee,Pay-as-you-go,,"Cryptocurrency payment gateway. It enables accepting payments in Bitcoin, USDC and various other cryptocurrencies",FALSE
coinsdo,coinsdo,,"[""[Website](https://www.coinsdo.com/en)""]",Tool,"[""Wallet as a Service (WaaS)"",""Digital asset wallet solutions"",""Cryptocurrency wallet API""]",Custom,Enterprise,,"Provides a suite of developer tools, primarily a Wallet-as-a-Service solution, that allows developers and businesses to integrate secure, non-custodial digital asset management and transaction capabilities into their own applications",FALSE
conduit-bundler,conduit,Conduit Bundler,"[""[Website](https://www.conduit.xyz/)"",""[Docs](https://docs.conduit.xyz/chains/integrations/bundler)""]",Tool,"[""Account Abstraction"",""ERC-4337"",""Bundler""]",Custom,Custom,,Managed ERC-4337 bundler service for submitting and batching UserOperations on supported EVM networks,FALSE
create-eth-app,walletconnect,,"[""[Website](https://github.com/WalletConnect/create-eth-app)""]",Tool,"[""Ethereum App Creation"",""dApp Boilerplate"",""Web3 App Development"",""Frontend Development"",""Blockchain Application Starter Kit""]",$0,Free,,"It helps developers quickly bootstrap and create modern, single-page, Ethereum-powered decentralized applications with a single command",FALSE
crossmint-enterprise,crossmint,,"[""[Contact](https://www.crossmint.com/contact/sales)""]",NFT,"[""NFT"",""Minting"",""Payments"",""Fiat On-Ramp""]",Custom,Enterprise,,"Platform enabling fiat on-ramp for NFTs, letting users mint NFTs with credit cards; supports Optimism for seamless onboarding of new users",FALSE
crossmint-free,crossmint,,"[""[Website](https://crossmint.com/)""]",NFT,"[""NFT"",""Minting"",""Payments"",""Fiat On-Ramp""]",$0,Free,,"Platform enabling fiat on-ramp for NFTs, letting users mint NFTs with credit cards; supports Optimism for seamless onboarding of new users",FALSE
curvegrid-enterprise,curvegrid,,"[""[Website](https://www.curvegrid.com/)""]",Tool,"[""Web3 infrastructure"",""API"",""Smart contracts"",""Enterprise blockchain""]",Custom,Enterprise,,It provides developer tools and infrastructure-as-a-service to help businesses and developers build and deploy decentralized applications faster and more easily,FALSE
curvegrid-free,curvegrid,,"[""[Website](https://www.curvegrid.com/)""]",Tool,"[""Web3 infrastructure"",""API"",""Smart contracts"",""Enterprise blockchain""]",$0,Free,,It provides developer tools and infrastructure-as-a-service to help businesses and developers build and deploy decentralized applications faster and more easily,FALSE
dapp-launchpad,dapp-launchpad,,"[""[Website](https://github.com/0xPolygon/dapp-launchpad)""]",CLI,"[""JavaScript"",""Boilerplate""]",$0,Free,,Boilerplate and toolkits for launching Polygon dApps fast,FALSE
dapprovals-basic,dapprovals,,"[""[Website](https://dapproval.com/)""]",Tool,"[""Code Review Approvals"",""Deployment Approvals"",""CI/CD Approvals"",""Infrastructure Approvals""]",£12,Tiered,Basic,Provides services for managing and securing Web3 transaction approvals,FALSE
dapprovals-enterprise,dapprovals,,"[""[Website](https://dapproval.com/)""]",Tool,"[""Code Review Approvals"",""Deployment Approvals"",""CI/CD Approvals"",""Infrastructure Approvals""]",Custom,Enterprise,Custom,Provides services for managing and securing Web3 transaction approvals,FALSE
dapprovals-standard,dapprovals,,"[""[Website](https://dapproval.com/)""]",Tool,"[""Code Review Approvals"",""Deployment Approvals"",""CI/CD Approvals"",""Infrastructure Approvals""]",£18,Tiered,Standard,Provides services for managing and securing Web3 transaction approvals,FALSE
datacurve-enterprise,datacurve,,"[""[Website](https://datacurve.io/)""]",AI,"[""AI platform"",""Customer data platform"",""Data analytics"",""CRM integration""]",Custom,Enterprise,,"DataCurve unifies sport fan identity and behavior across every touchpoint using blockchain - creating a measurable foundation for personalization, sponsor attribution, and revenue growth.",FALSE
decubate-tms,decubate-tms,,"[""[Website](https://tms.finance/)""]",Finance,"[""No-code token platform"",""Token minting"",""Liquidity farming""]",From $5K,Enterprise,,"It is a no-code, all-in-one platform that provides Web3 builders and projects with the necessary tools to launch, manage, and scale their tokens efficiently and securely",FALSE
eth-calldata-decoder,eth-calldata-decoder,,"[""[Website](https://calldata.swiss-knife.xyz/decoder)""]",Tool,"[""ETH calldata decoder"",""Ethereum calldata decoder"",""Decode transaction calldata"",""Smart contract debugger""]",$0,Free,,"It is a developer tool that translates raw, hexadecimal transaction input data i.e calldata into a human-readable format",FALSE
ethereum-etl,ethereum-etl,,"[""[Website](https://github.com/blockchain-etl/ethereum-etl)""]",CLI,"[""Ethereum ETL"",""Blockchain data analytics"",""Web3 data infrastructure"",""ETL (Extract, Transform, Load)"",""On-chain data""]",$0,Free,,"It provides Python and Rust scripts to extract, transform, and load (ETL) data from the Ethereum blockchain into more convenient formats like CSV files, JSON files, or relational databases (such as PostgreSQL)",FALSE
ethui,ethui,,"[""[Website](https://github.com/ethui/ethui)""]",Tool,"[""Desktop-Native Interface""]",$0,Free,,It is desktop-native Ethereum development toolkit that integrates crypto wallet functionalities with tools aimed at improving the workflow for smart contract and dApp development and testing,FALSE
evm-2,evm2,,"[""[Website](https://github.com/hananbeer/evm2)""]",Testing and Debugging,"[""EVM tools"",""Blockchain developer tools"",""Smart contract development""]",$0,Free,,It provides a crucial sandbox environment for developers to meticulously analyze and verify the behavior of their smart contracts locally and in detail before deploying them to a public blockchain network,FALSE
evm-toolkit,evm-toolkit,,"[""[Website](https://quilt.github.io/etk/)""]",Tool,"[""EVM Toolkit"",""Ethereum Virtual Machine"",""Blockchain developer tools"",""Smart contract development""]",$0,Free,,"It provides fundamental utilities, specifically an assembler and a disassembler, for working with raw EVM bytecode",FALSE
evmdis,evmdis,,"[""[Website](https://github.com/Arachnid/evmdis)""]",Tool,"[""Ethereum Virtual Machine Disassembler""]",$0,Free,,It is Ethereum Virtual Machine disassembler that analyzes smart contract bytecode to make it more understandable for developers and security researchers,FALSE
filecoin-signing-tools,filecoin,Filecoin Signing Tools,"[""[Docs](https://docs.filecoin.io/reference/built-in-actors)""]",Signal Tool,"[""Tool""]",$0,Free,,Filecoin signing libraries and tools for interacting with Filecoin actors,FALSE
flexa,flexa,,"[""[Website](https://flexa.network/)""]",Finance,"[""Merchant"",""Real-world"",""Payments""]",Custom,Enterprise,,"Digital payment network enabling instant, fraud-proof payments at major retailers",FALSE
forge,forge,,"[""[Website](https://getfoundry.sh/forge/overview/)""]",CLI,"[""Command-line tool""]",$0,Free,,"It is a command-line interface tool designed for Ethereum developers to build, test, debug, deploy and verify Solidity smart contracts",FALSE
fvm-beryx-address-converter,beryx,FVM Beryx Address Converter,"[""[Website](https://beryx.io/address_converter)""]",Address Converter,"[""Tool""]",$0,Free,,Utility to convert Filecoin addresses,FALSE
fvm-go-graphsplit,filedrive,FVM Go Graphsplit,"[""[GitHub](https://github.com/filedrive-team/go-graphsplit)""]",Data preparation,"[""Data preparation""]",$0,Free,,GraphSplit tool for preparing large datasets for Filecoin,FALSE
fvm-tinygo-sdk,ipfs,FVM Tinygo SDK,"[""[GitHub](https://github.com/ipfs-force-community/go-fvm-sdk)""]",FVM Go SDK,"[""SDK""]",$0,Free,,Go SDK for Filecoin Virtual Machine smart contract development,FALSE
gas-station,astar,Astar Gas Station,"[""[Docs](https://docs.astar.network/docs/build/environment/gas-station/)""]",Gas Oracle,"[""Gas""]",Custom,Pay-as-you-go,,"It functions as a gas oracle, similar to an EVM GAS PRICE API within the Astar ecosystem, providing real-time estimates for gas prices.",FALSE
gas-station-network,polygon,,"[""[Docs](https://docs.polygon.technology/tools/gas/polygon-gas-station/)""]",Tool,"[""Web"",""API""]",$0,Free,,Gas price oracle API and dashboard for Polygon estimating current gas prices for dApps UX,FALSE
hela,hela,,"[""[Website](https://helalabs.com/)""]",AI,"[""Static Application Security Testing"",""Secret Scanning"",""CI/CD Pipeline Security""]",$0.02/Gas fee,Pay-as-you-go,,"It provides a modular, EVM-compatible Layer-1 blockchain platform for building dApps, supporting applications involving personalized AI and real-world use cases",FALSE
hokusai,hokusai,,"[""[Website](https://github.com/artsy/hokusai)""]",CLI,"[""Docker""]",$0,Free,,"It is designed to simplify the application development, testing and deployment lifecycle for developers",FALSE
intellij-solidity-plugin,intellij-solidity-plugin,,"[""[Website](https://github.com/intellij-solidity/intellij-solidity)""]",Tool,"[""IntelliJ"",""JetBrains"",""IDE Plugin""]",$0,Free,,"It provides a comprehensive suite of developer tools that deeply integrate the writing, testing, debugging, and deployment of Solidity smart contracts directly within the JetBrains integrated development environment",FALSE
jeb-decompiler,pnf-software,,"[""[Website](https://www.pnfsoftware.com/jeb/manual/ethereum/)""]",Testing and Debugging,"[""Reverse Engineering"",""Decompiler"",""Disassembler"",""Debugger"",""Code Analysis""]",$0,Free,,"It is a powerful interactive reverse-engineering platform used for the disassembly, decompilation, debugging, and analysis of complex code and document files",FALSE
jetbrains-intellij-ton,intellij-ton-plugin,,"[""[Website](https://plugins.jetbrains.com/plugin/23382-ton)""]",Tool,"[""IDE"",""Syntax Highlighting"",""FunC"",""Tact""]",$0,Free,,"The official IntelliJ/IDEA plugin providing syntax highlighting, code completion, and tool integration for FunC and Tact development",FALSE
kevm,kevm,,"[""[Website](https://github.com/runtimeverification/evm-semantics)""]",Tool,"[""Formal Verification"",""Formal Methods"",""K Framework""]",$0,Free,,"It allows developers to write custom tests and work with the underlying semantics of a blockchain environment, such as Cardano's EVM layer, before it is fully launched",FALSE
krebit,krebit,,"[""[Website](https://hackers.tools/d/krebit)""]",Tool,"[""Decentralized identity"",""Verifiable credentials"",""Web3 reputation systems""]",$0,Free,,It is a reputation scoring platform for digital assets and decentralized finance that allows developers to integrate creditworthiness credentials into their applications,FALSE
laika-ai,laika-ai,,"[""[Website](https://laikalabs.ai/)""]",AI,"[""AI"",""On-chain Data"",""Analytics""]",Custom,Enterprise,,"It offers an enterprise API and a SDK for custom agent development, allowing other developers to integrate its analytics and smart contract auditing features into their own applications",FALSE
maian,maian,,"[""[Website](https://github.com/ivicanikolicsg/MAIAN)""]",Tool,"[""Smart Contract Vulnerability Detection"",""Ethereum Smart Contracts"",""Blockchain Security Tools"",""Vulnerability Detection""]",$0,Free,Free,It used for static and dynamic analysis to detect security vulnerabilities in Ethereum smart contracts,FALSE
mini-kit,base,MiniKit,"[""[Docs](https://docs.base.org/mini-apps)"",""[GitHub](https://github.com/coinbase/onchainkit)""]",Tool,"[""React"",""Mini apps"",""Farcaster""]",$0,Free,,Official SDK for building Mini Apps that work seamlessly across Base App and other Farcaster clients,FALSE
mosaia-enterprise,mosaia,,"[""[Contact](https://calendly.com/cyril-mosaia)""]",AI,"[""Building and deploying AI agents and teams""]",Custom,Enterprise,,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
mosaia-explorer,mosaia,,"[""[Buy](https://www.mosaia.io/pricing)""]",AI,"[""Building and deploying AI agents and teams""]",$19/mo,Tiered,Explorer,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
mosaia-pro,mosaia,,"[""[Buy](https://www.mosaia.io/pricing)""]",AI,"[""Building and deploying AI agents and teams""]",$349/mo,Tiered,Pro,"It is a platform for developers and non-developers to build, deploy, and manage autonomous AI agents that connect with external applications and data sources",FALSE
multicall3,multicall3,,"[""[Website](https://www.multicall3.com)""]",Tool,"[""Contract Calls"",""Aggregation"",""RPC""]",$0,Free,,It enables the batching of multiple calls to other smart contracts into a single transaction,FALSE
